cluster,weakest_dimension,score,gap_to_70,recommended_action
Educational,Practical Usefulness,59.0,11.0,"Add troubleshooting sections, ""when to see a vet"", common mistakes, routines"
Dog Food,Glossary Density,40.0,30.0,"Add glossary sections, define key terms, link to glossary hub"
Dog Health,Glossary Density,15.6,54.4,"Add glossary sections, define key terms, link to glossary hub"
Cat Toys,Glossary Density,8.7,61.3,"Add glossary sections, define key terms, link to glossary hub"
Cat Supplies,Glossary Density,1.2,68.8,"Add glossary sections, define key terms, link to glossary hub"
Dog Toys,Glossary Density,9.2,60.8,"Add glossary sections, define key terms, link to glossary hub"
Dog Training,Glossary Density,15.5,54.5,"Add glossary sections, define key terms, link to glossary hub"
Dog Harnesses,Glossary Density,8.3,61.7,"Add glossary sections, define key terms, link to glossary hub"
Uncategorized,Glossary Density,6.6,63.4,"Add glossary sections, define key terms, link to glossary hub"
Dog Grooming,Glossary Density,7.5,62.5,"Add glossary sections, define key terms, link to glossary hub"
Dog Beds,Glossary Density,21.8,48.2,"Add glossary sections, define key terms, link to glossary hub"
Puppy Care,Glossary Density,12.3,57.7,"Add glossary sections, define key terms, link to glossary hub"
Indoor Cats,Comparison Usefulness,25.0,45.0,"Add comparison tables with 4+ rows, Best For columns, multi-dimension data"
