url,type,title,ipad_portrait_score,ipad_landscape_score,surface_score,average_score,issues,issue_count
https://pethubonline.com/category/cat-supplies/,category,Cat Supplies,100,100,0,66.7,"load-error@surface: Page.evaluate: Execution context was destroyed, mo",1
https://pethubonline.com/,homepage,Homepage,100,100,100,100.0,none,0
https://pethubonline.com/best-cat-toys-uk/,post,Best Cat Toys UK,100,100,100,100.0,none,0
https://pethubonline.com/best-dog-beds-uk/,post,Best Dog Beds UK,100,100,100,100.0,none,0
https://pethubonline.com/best-dog-food-uk/,post,Best Dog Food UK,100,100,100,100.0,none,0
https://pethubonline.com/best-cat-food-uk/,post,Best Cat Food UK,100,100,100,100.0,none,0
https://pethubonline.com/indoor-cat-exercise/,post,Indoor Cat Exercise,100,100,100,100.0,none,0
https://pethubonline.com/best-dog-harness-uk/,post,Best Dog Harness UK,100,100,100,100.0,none,0
https://pethubonline.com/puppy-care-essentials-key-terms/,post,Puppy Care Essentials,100,100,100,100.0,none,0
https://pethubonline.com/about-us/,page,About Us,100,100,100,100.0,none,0
https://pethubonline.com/our-methodology/,page,Our Methodology,100,100,100,100.0,none,0
https://pethubonline.com/category/dog-supplies/,category,Dog Supplies,100,100,100,100.0,none,0
https://pethubonline.com/best-interactive-cat-toys-uk/,post,Best Interactive Cat Toys,100,100,100,100.0,none,0
https://pethubonline.com/best-orthopedic-dog-beds-uk/,post,Best Orthopedic Dog Beds,100,100,100,100.0,none,0
https://pethubonline.com/seasonal-dog-care-keeping-your-dog-safe-year-round/,post,Seasonal Dog Care,100,100,100,100.0,none,0
