mismatch_id,post_id,URL,expected_count,actual_count,mismatch_type,severity,suspected_cause,remediation_recommendation,auto_fix_possible_yes_no,owner_approval_required_yes_no,assigned_agent,status,next_action
mm-08347efd,3,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-51226d7a,696,https://pethubonline.com/essential-cat-supplies-for-cat-owners/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-0ef68256,3836,https://pethubonline.com/best-dog-food-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-1756f767,3837,https://pethubonline.com/best-dry-dog-food-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-227f00e0,3838,https://pethubonline.com/dry-vs-wet-dog-food-uk/,unverified,unverified,product_count,HIGH,comparison_not_product_list,reclassify_as_educational_guide,no,yes,content-agent,OPEN,content_verification_required
mm-c8165704,3839,https://pethubonline.com/best-puppy-food-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-cccef0db,3956,https://pethubonline.com/best-dog-toys-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-7f00b6c8,3957,https://pethubonline.com/best-indestructible-dog-toys-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-54c080a1,3959,https://pethubonline.com/best-interactive-dog-toys-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-79dbafc1,3960,https://pethubonline.com/best-puppy-toys-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-91a38177,3996,https://pethubonline.com/best-dog-beds-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-31590c75,4004,https://pethubonline.com/best-orthopaedic-dog-beds-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-e5e813ce,4011,https://pethubonline.com/best-cooling-dog-beds-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-50d324e5,4018,https://pethubonline.com/best-puppy-beds-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-79e3a09b,4027,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-a760629c,4034,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-aa1237d0,4042,https://pethubonline.com/best-dog-leads-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-256f1ca7,4049,https://pethubonline.com/best-puppy-collars-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-90d7b4b8,4057,https://pethubonline.com/best-dog-grooming-supplies-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-413c6a93,4064,https://pethubonline.com/best-dog-brushes-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-b9dc93e1,4071,https://pethubonline.com/best-dog-shampoo-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-e4b48f92,4078,https://pethubonline.com/best-dog-nail-clippers-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-9791fb79,4089,https://pethubonline.com/best-dog-health-care-uk/,unverified,unverified,product_count,HIGH,educational_content_not_product_list,reclassify_as_educational_guide,no,yes,content-agent,OPEN,content_verification_required
mm-b085a36e,4096,https://pethubonline.com/best-dog-dental-care-uk/,unverified,unverified,product_count,HIGH,educational_content_not_product_list,reclassify_as_educational_guide,no,yes,content-agent,OPEN,content_verification_required
mm-49ee331d,4103,https://pethubonline.com/best-dog-flea-treatment-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-d8dedf50,4110,https://pethubonline.com/best-dog-joint-supplements-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-7dfdd253,4118,https://pethubonline.com/best-dog-training-behaviour-uk/,unverified,unverified,product_count,HIGH,educational_content_not_product_list,reclassify_as_educational_guide,no,yes,content-agent,OPEN,content_verification_required
mm-646aa1fb,4125,https://pethubonline.com/best-dog-training-treats-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-8c535ee0,4132,https://pethubonline.com/best-puppy-training-guide-uk/,unverified,unverified,product_count,HIGH,educational_content_not_product_list,reclassify_as_educational_guide,no,yes,content-agent,OPEN,content_verification_required
mm-20e5f7ca,4139,https://pethubonline.com/best-dog-training-leads-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-a8dcd6e5,4146,https://pethubonline.com/best-dog-bowls-feeding-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-4b3a93f2,4153,https://pethubonline.com/best-slow-feeder-dog-bowls-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
