item_id,mission_id,title,item_type,priority,status,assigned_agent,created_at
blg_78aa41f6ffa1,mis_dog_food_authority,Content Brief: Dog Food Hub Page,content_brief,high,draft_expanded,content_agent,2026-05-26T14:54:59.495719Z
blg_bf1e0f5ecdc8,mis_dog_food_authority,Content Brief: Best Dry Dog Food UK,content_brief,low,draft_expanded,content_agent,2026-05-26T14:54:59.495828Z
blg_e631bc3f7810,mis_dog_food_authority,Content Brief: Best Wet Dog Food UK,content_brief,medium,pending,content_agent,2026-05-26T14:54:59.495983Z
blg_a4fe9da8e884,mis_dog_food_authority,Content Brief: Best Puppy Food UK,content_brief,high,draft_expanded,content_agent,2026-05-26T14:54:59.496075Z
blg_c27af0338340,mis_dog_food_authority,Content Brief: Best Senior Dog Food UK,content_brief,high,pending,content_agent,2026-05-26T14:54:59.496162Z
blg_ddf54f52db95,mis_dog_food_authority,Content Brief: Dog Food Ingredient Guide UK,content_brief,medium,pending,content_agent,2026-05-26T14:54:59.496243Z
blg_c4e5b554f68d,mis_dog_food_authority,Content Brief: Dry vs Wet Dog Food UK,content_brief,medium,draft_expanded,content_agent,2026-05-26T14:54:59.496329Z
blg_05a1cbf7ca37,mis_dog_food_authority,Content Brief: Sensitive Stomach Dog Food UK,content_brief,high,pending,content_agent,2026-05-26T14:54:59.496415Z
blg_0a596b56a41a,mis_dog_food_authority,Dog Food Cluster Internal Linking Map,internal_linking_proposal,medium,pending,seo_agent,2026-05-26T14:54:59.496498Z
blg_0468a8d49ca2,mis_dog_food_authority,Dog Food Metadata Optimisation Pack,metadata_proposal,medium,pending,seo_agent,2026-05-26T14:54:59.496585Z
blg_939ea789a77b,mis_dog_food_authority,Dog Food Schema Markup Package,schema_proposal,low,pending,seo_agent,2026-05-26T14:54:59.496665Z
blg_ae5c2143c23e,mis_dog_food_authority,Dog Food Testing Methodology Documentation,evidence_requirement,low,pending,product_research_agent,2026-05-26T14:54:59.496751Z
