post_id,title,cluster,comparison_quality_score,has_table,has_best_for_column,has_4plus_rows,has_suitability_info,has_multiple_dimensions
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,80,True,False,True,True,True
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,60,True,False,True,False,True
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,60,True,False,True,False,True
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,100,True,True,True,True,True
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,80,True,False,True,True,True
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,80,True,False,True,True,True
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,80,True,False,True,True,True
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,80,True,True,True,False,True
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,80,True,True,True,False,True
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,80,True,True,True,False,True
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,80,True,False,True,True,True
4568,Dog Dental Health: A Practical Care Guide,Dog Health,80,True,True,True,False,True
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,80,True,True,True,False,True
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,80,True,False,True,True,True
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,80,True,False,True,True,True
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,80,True,True,True,False,True
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,0,False,False,False,False,False
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,80,True,True,True,False,True
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,80,True,False,True,True,True
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,60,True,False,True,False,True
