source_id,source_title,target_id,target_title,anchor_text,status
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toy Durability Guide: What Lasts and What Does Not,INSERTED_BLOCK
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toy Durability Guide: What Lasts and What Does Not,INSERTED_BLOCK
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toy Durability Guide: What Lasts and What Does Not,INSERTED_BLOCK
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,,ALREADY_LINKED
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,,ALREADY_LINKED
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,INSERTED_BLOCK
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes","Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",INSERTED_BLOCK
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes","Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",INSERTED_BLOCK
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes","Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",INSERTED_BLOCK
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,INSERTED_BLOCK
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,INSERTED_BLOCK
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,,ALREADY_LINKED
