cluster,posts_scored,avg_trust_intensity,avg_eeat_depth,avg_conversion_sophistication,avg_practical_usefulness,avg_comparison_quality,avg_citation_readiness,avg_hub_authority,composite_score
Cat Supplies,2,75.0,50.0,80.0,64.0,80.0,100.0,81.0,74.8
Cat Toys,2,62.0,33.0,90.0,64.0,70.0,100.0,92.5,69.8
Dog Beds,2,50.0,16.0,90.0,78.0,80.0,83.0,76.0,66.2
Dog Food,2,62.0,33.0,80.0,85.0,80.0,100.0,68.0,73.3
Dog Grooming,2,62.0,0.0,50.0,49.5,40.0,58.0,72.5,43.2
Dog Harnesses,2,56.0,16.0,60.0,57.0,80.0,66.0,78.0,55.8
Dog Health,2,62.0,24.5,80.0,78.0,80.0,100.0,76.0,70.8
Dog Toys,2,62.0,33.0,60.0,78.0,70.0,100.0,63.5,67.2
Dog Training,2,62.0,33.0,90.0,85.0,80.0,100.0,79.5,75.0
Puppy Care,2,62.0,41.5,80.0,71.0,80.0,100.0,80.5,72.4
