id,title,cluster,before_score,blocks_added,blocks_expanded,uk_refs_added,faq_count,status
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,92.2,3,2,0,6,success
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,91.1,3,2,0,6,success
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,88.2,3,2,0,6,success
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,87.0,3,1,0,6,success
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,85.4,3,2,0,6,success
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,85.2,2,2,0,6,success
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,82.2,2,2,0,6,success
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,81.7,4,1,0,6,success
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health,81.5,2,1,0,6,success
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Uncategorized,81.2,1,2,0,6,success
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,80.9,3,1,0,6,success
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,80.2,3,1,0,6,success
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,79.0,3,1,0,6,success
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,78.8,3,1,0,6,success
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Health,78.7,3,2,2,6,success
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,78.6,4,1,0,6,success
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,78.6,2,2,0,6,success
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,78.2,3,2,0,6,success
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,78.1,4,1,0,6,success
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Educational,77.9,2,2,0,6,success
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,77.5,3,1,0,6,success
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,77.4,1,2,0,6,success
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,77.3,3,1,0,6,success
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,77.1,3,1,0,6,success
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Uncategorized,76.7,2,2,0,6,success
