id,title,cluster,directness,usefulness,completeness,practical_guidance,comparison_richness,trust_depth,extractability,citation_confidence,best_answer_score
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,61,82,100,58,77,95,100,83,79.5
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,55,79,100,52,94,85,100,87,79.2
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,53,85,100,51,82,90,100,83,78.0
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,73,78,98,48,65,83,98,77,75.2
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,53,70,100,43,72,90,100,83,73.0
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,66,77,98,56,44,88,94,74,71.8
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,55,76,100,36,73,80,95,80,71.5
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,61,77,98,53,47,95,94,70,71.4
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,65,88,100,44,44,85,94,72,71.2
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,65,91,100,41,42,81,94,74,70.8
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,59,77,98,55,42,95,94,70,70.7
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,59,80,93,65,47,64,94,73,70.0
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,65,80,97,41,44,90,94,72,69.8
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,73,83,98,39,47,73,94,70,69.8
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,73,76,98,44,44,72,94,72,69.2
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,65,80,98,49,42,82,94,64,69.2
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,56,77,98,54,47,77,94,72,69.2
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,53,70,100,23,74,87,93,81,69.1
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,65,77,97,41,49,80,94,72,69.1
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,60,80,98,41,50,80,94,70,68.8
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,53,74,98,56,47,81,94,68,68.6
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,56,80,98,40,47,90,94,68,68.5
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,59,74,90,50,42,88,94,74,68.3
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,56,77,98,46,47,81,94,70,68.2
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,67,71,98,47,42,76,94,72,68.0
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,60,59,100,29,70,79,98,75,67.9
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,61,67,90,27,60,78,98,89,67.8
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,63,65,100,33,55,84,83,85,67.6
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Supplies,55,83,91,30,62,72,98,69,67.5
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,56,77,98,41,42,86,94,70,67.2
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,53,77,98,43,42,85,94,70,67.0
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,60,81,98,41,44,67,94,72,67.0
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,61,76,96,41,45,82,94,61,66.8
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,51,78,98,43,47,75,94,73,66.8
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,60,65,100,13,75,77,93,77,66.7
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,56,68,98,43,42,93,94,68,66.7
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,64,73,98,36,50,78,94,62,66.7
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,66,74,98,30,52,76,94,65,66.6
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Supplies,65,66,100,34,40,89,85,82,66.3
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,53,76,98,39,51,75,94,68,66.3
4202,Best Cat Beds UK (2026) – Complete Guide,Dog Beds,65,75,98,36,42,76,94,66,66.1
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,55,69,98,43,45,79,94,72,66.1
4783,How to Choose the Right Dog Bed Size,Dog Beds,66,66,96,39,40,79,94,74,66.0
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,50,77,91,33,60,70,98,69,65.8
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,73,68,91,19,57,77,98,67,65.8
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Supplies,64,67,100,25,37,91,94,84,65.8
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,73,64,100,25,37,79,94,86,65.8
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,65,72,98,34,44,78,94,66,65.8
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,59,77,98,40,42,72,94,66,65.7
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,56,66,98,38,45,81,94,76,65.7
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,63,65,100,19,75,67,89,67,65.6
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,56,70,98,41,42,85,94,64,65.5
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Harnesses,51,78,96,36,45,79,94,70,65.4
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,59,75,98,36,44,67,94,72,65.2
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,59,73,98,35,42,84,94,62,65.2
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,51,77,98,38,49,78,94,59,65.2
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,65,65,97,15,65,72,98,69,65.1
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,60,75,98,32,42,81,94,64,65.0
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,59,71,98,35,45,79,94,62,64.8
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Training,59,64,98,41,50,68,94,65,64.6
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Dog Beds,73,66,98,26,42,76,94,65,64.3
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,57,71,91,23,60,74,98,63,64.2
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Dog Beds,67,64,98,35,42,73,94,64,64.1
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,60,62,91,22,59,77,98,68,63.9
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,63,74,73,44,45,66,89,69,63.6
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,59,77,88,43,45,71,79,59,63.3
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Dog Beds,55,67,98,30,42,81,94,68,63.2
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,55,67,98,30,44,83,94,62,63.1
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,58,59,100,24,47,88,94,67,63.1
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Puppy Care,55,64,90,31,41,82,94,78,63.0
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,53,61,100,17,65,69,98,69,63.0
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,59,63,90,33,42,79,94,71,63.0
