post_id,title,category,commercial_intent,affiliate_count,affiliate_density,cta_count,cta_density,product_recommendations,comparison_table,pros_cons,price_mentions,where_to_buy,conversion_score,conversion_pct
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,MEDIUM,8,high,4,medium,yes,yes,yes,yes,yes,7,100.0
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,MEDIUM,8,high,4,medium,yes,yes,yes,yes,yes,7,100.0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,MEDIUM,8,high,4,medium,yes,yes,yes,yes,yes,7,100.0
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,MEDIUM,8,high,4,medium,yes,yes,yes,yes,yes,7,100.0
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,HIGH,8,high,4,medium,yes,yes,yes,yes,yes,7,100.0
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,HIGH,8,high,4,medium,yes,yes,yes,yes,yes,7,100.0
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,HIGH,8,high,4,medium,yes,yes,yes,yes,yes,7,100.0
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,MEDIUM,8,high,3,medium,yes,yes,yes,yes,yes,7,100.0
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,HIGH,8,high,3,medium,yes,yes,yes,yes,yes,7,100.0
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,HIGH,8,high,3,medium,yes,yes,yes,yes,yes,7,100.0
8172,Our Research Standards,Pet Care,MEDIUM,7,high,4,medium,yes,yes,yes,yes,yes,7,100.0
8171,Why PetHub Online Exists,Pet Care,MEDIUM,7,high,4,medium,yes,yes,yes,yes,yes,7,100.0
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,LOW,7,high,4,medium,yes,yes,yes,yes,yes,7,100.0
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,LOW,7,high,4,medium,yes,yes,yes,yes,yes,7,100.0
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Health & Wellness,LOW,7,high,4,medium,yes,yes,yes,yes,yes,7,100.0
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,LOW,7,high,4,medium,yes,yes,yes,yes,yes,7,100.0
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,MEDIUM,7,high,4,medium,yes,yes,yes,yes,yes,7,100.0
