id,title,cluster,glossary_depth,trust_depth,practical_depth,comparison_depth,faq_depth,citation_confidence,semantic_density,authority_moat_score
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,100,95,71,89,80,83,92,87.1
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,100,90,75,97,71,83,88,86.3
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,100,85,60,95,68,87,95,84.3
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,96,90,60,77,82,83,95,83.3
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,100,88,76,53,75,74,91,79.6
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,82,95,77,58,80,70,93,79.3
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,80,87,40,81,85,81,94,78.3
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,100,83,57,72,70,77,86,77.9
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,100,64,72,58,72,73,100,77.0
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,100,88,50,52,75,74,99,76.9
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,100,90,64,58,62,68,91,76.1
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,80,84,37,66,85,85,95,76.0
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Supplies,95,91,27,52,85,84,97,75.9
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,100,79,17,82,85,75,92,75.7
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Supplies,100,72,45,73,75,69,93,75.3
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,100,79,37,52,85,86,88,75.3
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,100,77,50,58,70,72,100,75.3
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,80,80,29,82,85,80,90,75.1
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,100,70,50,70,75,69,91,75.0
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,82,95,71,52,62,70,93,75.0
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,100,80,65,58,59,70,91,74.7
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,100,81,50,52,77,74,88,74.6
