rank,id,title,cluster,authority_moat_score,strongest_moat,weakest_moat
1,3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,87.1,glossary_depth,practical_depth
2,3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,86.3,glossary_depth,faq_depth
3,3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,84.3,glossary_depth,practical_depth
4,3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,83.3,glossary_depth,practical_depth
5,4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,79.6,glossary_depth,comparison_depth
6,4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,79.3,trust_depth,comparison_depth
7,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,78.3,semantic_density,practical_depth
8,4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,77.9,glossary_depth,practical_depth
9,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,77.0,glossary_depth,comparison_depth
10,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,76.9,glossary_depth,practical_depth
11,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,76.1,glossary_depth,comparison_depth
12,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,76.0,semantic_density,practical_depth
13,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Supplies,75.9,semantic_density,practical_depth
14,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,75.7,glossary_depth,practical_depth
15,6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Supplies,75.3,glossary_depth,practical_depth
16,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,75.3,glossary_depth,practical_depth
17,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,75.3,glossary_depth,practical_depth
18,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,75.1,semantic_density,practical_depth
19,6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,75.0,glossary_depth,practical_depth
20,4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,75.0,trust_depth,comparison_depth
21,4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,74.7,glossary_depth,comparison_depth
22,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,74.6,glossary_depth,practical_depth
23,4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,74.3,glossary_depth,practical_depth
24,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,74.1,glossary_depth,practical_depth
25,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,74.0,glossary_depth,practical_depth
26,696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,74.0,glossary_depth,practical_depth
27,4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,73.9,glossary_depth,faq_depth
28,4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,73.9,glossary_depth,practical_depth
29,4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,73.7,glossary_depth,practical_depth
30,4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,73.6,glossary_depth,faq_depth
31,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Supplies,73.3,semantic_density,practical_depth
32,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,73.3,glossary_depth,practical_depth
33,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,73.1,semantic_density,practical_depth
34,4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,73.1,glossary_depth,comparison_depth
35,7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,73.0,glossary_depth,practical_depth
36,5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Supplies,73.0,glossary_depth,practical_depth
37,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,73.0,glossary_depth,comparison_depth
38,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,73.0,glossary_depth,practical_depth
39,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Training,73.0,glossary_depth,practical_depth
40,4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,72.9,glossary_depth,faq_depth
41,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,72.7,glossary_depth,practical_depth
42,6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,72.7,glossary_depth,practical_depth
43,4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,72.7,glossary_depth,practical_depth
44,4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,72.7,glossary_depth,practical_depth
45,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,72.6,glossary_depth,practical_depth
46,4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,72.6,glossary_depth,practical_depth
47,4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,72.4,glossary_depth,practical_depth
48,5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,72.3,glossary_depth,practical_depth
49,4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,72.3,glossary_depth,practical_depth
50,4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,72.1,glossary_depth,practical_depth
51,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,72.0,glossary_depth,practical_depth
52,4783,How to Choose the Right Dog Bed Size,Dog Beds,72.0,semantic_density,practical_depth
53,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,71.9,glossary_depth,practical_depth
54,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,71.9,glossary_depth,practical_depth
55,7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Puppy Care,71.7,semantic_density,practical_depth
56,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,71.7,glossary_depth,practical_depth
57,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,71.7,semantic_density,practical_depth
58,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,71.7,glossary_depth,practical_depth
59,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,71.6,glossary_depth,practical_depth
60,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,71.6,glossary_depth,practical_depth
61,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Supplies,71.4,glossary_depth,practical_depth
62,5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,71.4,glossary_depth,practical_depth
63,5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,71.4,glossary_depth,practical_depth
64,4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,71.3,glossary_depth,practical_depth
65,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,71.3,glossary_depth,practical_depth
66,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,71.3,glossary_depth,practical_depth
67,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,71.0,glossary_depth,practical_depth
68,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,71.0,glossary_depth,practical_depth
69,4570,First-Time Dog Owner Essentials: What You Need to Know,Puppy Care,70.9,glossary_depth,practical_depth
70,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,70.7,semantic_density,practical_depth
71,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,70.7,glossary_depth,practical_depth
72,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,70.6,glossary_depth,practical_depth
73,6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,70.4,glossary_depth,practical_depth
74,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,70.4,glossary_depth,practical_depth
75,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,70.4,glossary_depth,practical_depth
76,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,70.3,glossary_depth,practical_depth
77,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,70.3,glossary_depth,practical_depth
78,4568,Dog Dental Health: A Practical Care Guide,Dog Health,70.1,glossary_depth,practical_depth
