source_id,source_title,target_id,target_title,suggested_anchor_text,corridor,priority
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Dog Food <-> Dog Health,1
3836,Best Dog Food UK (2026) – Complete Buying Guide,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Dog Food <-> Dog Health,2
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Dog Food <-> Dog Health,3
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Dog Food <-> Dog Health,4
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Dog Food <-> Dog Health,5
3836,Best Dog Food UK (2026) – Complete Buying Guide,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Dog Food <-> Dog Health,6
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Dog Food <-> Dog Health,7
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,4089,Best Dog Health and Care UK (2026) – Complete Guide,dog health and care complete guide,Dog Food <-> Dog Health,8
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Dog Food <-> Dog Health,9
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,dog joint supplements mobility support guide,Dog Food <-> Dog Health,10
5425,Dog Toys FAQ: Common Questions Answered,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Dog Toys <-> Puppy Care,1
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy toys teething & first toys,Dog Toys <-> Puppy Care,2
5425,Dog Toys FAQ: Common Questions Answered,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy toys teething & first toys,Dog Toys <-> Puppy Care,3
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Dog Toys <-> Puppy Care,4
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy toys teething & first toys,Dog Toys <-> Puppy Care,5
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Dog Toys <-> Puppy Care,6
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Dog Toys <-> Puppy Care,7
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Dog Toys <-> Puppy Care,8
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy toys teething & first toys,Dog Toys <-> Puppy Care,9
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,puppy training guide first year essentials,Dog Toys <-> Puppy Care,10
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,orthopaedic dog beds joint support guide,Dog Beds <-> Dog Health,1
5416,Dog Bed Types Explained: A Complete Glossary,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,orthopaedic dog beds joint support guide,Dog Beds <-> Dog Health,2
5416,Dog Bed Types Explained: A Complete Glossary,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Dog Beds <-> Dog Health,3
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Dog Beds <-> Dog Health,4
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,dog joint supplements mobility support guide,Dog Beds <-> Dog Health,5
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,4089,Best Dog Health and Care UK (2026) – Complete Guide,dog health and care complete guide,Dog Beds <-> Dog Health,6
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,dog flea treatment prevention guide,Dog Beds <-> Dog Health,7
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,4089,Best Dog Health and Care UK (2026) – Complete Guide,dog health and care complete guide,Dog Beds <-> Dog Health,8
5416,Dog Bed Types Explained: A Complete Glossary,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Dog Beds <-> Dog Health,9
5416,Dog Bed Types Explained: A Complete Glossary,4089,Best Dog Health and Care UK (2026) – Complete Guide,dog health and care complete guide,Dog Beds <-> Dog Health,10
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat litter types & comparison guide,Cat Toys <-> Cat Supplies,1
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat collars complete safety guide,Cat Toys <-> Cat Supplies,2
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat collars complete safety guide,Cat Toys <-> Cat Supplies,3
5414,Cat Toy Types Explained: A Complete Glossary,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat litter types & comparison guide,Cat Toys <-> Cat Supplies,4
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,4202,Best Cat Beds UK (2026) – Complete Guide,cat beds complete guide,Cat Toys <-> Cat Supplies,5
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,4202,Best Cat Beds UK (2026) – Complete Guide,cat beds complete guide,Cat Toys <-> Cat Supplies,6
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,4202,Best Cat Beds UK (2026) – Complete Guide,cat beds complete guide,Cat Toys <-> Cat Supplies,7
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat litter types & comparison guide,Cat Toys <-> Cat Supplies,8
5032,Cat Toys FAQ: Common Questions Answered,4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat collars complete safety guide,Cat Toys <-> Cat Supplies,9
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,cat litter disposal waste management guide,Cat Toys <-> Cat Supplies,10
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat play behaviour: what different play,Dog Harnesses <-> Dog Training,1
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog behaviour explained: understanding your dog’s,Dog Harnesses <-> Dog Training,2
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,4125,Best Dog Training Treats UK (2026) – Reward Guide,dog training treats reward guide,Dog Harnesses <-> Dog Training,3
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,4125,Best Dog Training Treats UK (2026) – Reward Guide,dog training treats reward guide,Dog Harnesses <-> Dog Training,4
5418,Dog Harness Types Explained: Finding the Right Fit,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat play behaviour: what different play,Dog Harnesses <-> Dog Training,5
5418,Dog Harness Types Explained: Finding the Right Fit,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog behaviour explained: understanding your dog’s,Dog Harnesses <-> Dog Training,6
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog behaviour explained: understanding your dog’s,Dog Harnesses <-> Dog Training,7
5418,Dog Harness Types Explained: Finding the Right Fit,4125,Best Dog Training Treats UK (2026) – Reward Guide,dog training treats reward guide,Dog Harnesses <-> Dog Training,8
5418,Dog Harness Types Explained: Finding the Right Fit,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,dog training and behaviour complete guide,Dog Harnesses <-> Dog Training,9
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid","dog training equipment explained: tools, uses,",Dog Harnesses <-> Dog Training,10
5419,Cat Care Basics: A Glossary for New Cat Owners,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,indoor cat diet and nutrition: feeding,Educational <-> Dog Food,1
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,pet nutrition terminology: a guide to,Educational <-> Dog Food,2
5419,Cat Care Basics: A Glossary for New Cat Owners,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,pet nutrition terminology: a guide to,Educational <-> Dog Food,3
5419,Cat Care Basics: A Glossary for New Cat Owners,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,dog bowls and feeding complete guide,Educational <-> Dog Food,4
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,pet nutrition terminology: a guide to,Educational <-> Dog Food,5
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,dog bowls and feeding complete guide,Educational <-> Dog Food,6
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,indoor cat diet and nutrition: feeding,Educational <-> Dog Food,7
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,indoor cat diet and nutrition: feeding,Educational <-> Dog Food,8
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,3836,Best Dog Food UK (2026) – Complete Buying Guide,dog food complete buying guide,Educational <-> Dog Food,9
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,3836,Best Dog Food UK (2026) – Complete Buying Guide,dog food complete buying guide,Educational <-> Dog Food,10
