post_id,title,refs_added,status
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,"RSPCA, BVA, Battersea",updated
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet","RSPCA, BVA",updated
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,"RSPCA, Cats Protection",updated
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods","BVA, FEDIAF",updated
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards","RSPCA, UK Gov",updated
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",BVA,updated
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,"RSPCA, Battersea",updated
4792,Puppy Socialisation: A Complete Timeline Guide,"RSPCA, BVA",updated
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,"FEDIAF, UK Gov",updated
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,"RSPCA, Cats Protection",updated
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas","RSPCA, Battersea",updated
4568,Dog Dental Health: A Practical Care Guide,"RSPCA, BVA",updated
