post_id,title,cluster,word_count,has_faq,faq_count,has_glossary,glossary_terms,has_trust,has_comparison,has_practical,has_related,has_external_ref,internal_links
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,1635,True,9,True,6,True,False,False,True,False,13
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,1641,True,14,True,6,True,False,False,True,False,11
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,1444,True,6,True,6,True,False,False,True,False,9
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,1379,True,10,True,6,True,False,False,True,False,12
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,1456,True,9,True,6,True,False,False,True,False,11
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,1115,True,11,True,6,True,False,False,True,False,4
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,1066,True,8,True,11,True,False,False,True,False,4
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,1062,True,12,True,6,True,False,False,True,False,4
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,1124,True,8,True,14,True,False,False,True,False,4
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,1108,True,12,True,6,True,False,False,True,False,4
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Supplies,3281,True,29,True,0,True,True,False,True,False,7
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,4339,True,16,True,0,True,False,False,True,False,7
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Food,3553,True,34,True,19,True,False,False,True,False,8
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Care,2889,True,0,True,6,True,False,False,True,False,8
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Toys,3610,True,25,True,0,True,False,False,True,False,9
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,3224,True,29,True,0,True,False,True,True,False,7
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,3550,True,32,True,0,True,False,False,True,False,7
