post_id,title,table_count,total_rows,max_columns,has_comparison_heading,has_vs_structure,comparison_score
4414,Harness vs Collar: Which Is Better for Your Dog?,1,7,3,True,True,86
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",1,5,4,True,True,85
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,2,13,0,True,True,80
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",1,5,5,True,False,75
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,1,6,3,False,True,73
3836,Best Dog Food UK (2026) - Complete Buying Guide,2,11,0,True,False,70
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",1,6,4,False,False,68
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",1,6,4,False,False,68
5416,Dog Bed Types Explained: A Complete Glossary,1,6,5,False,False,68
4570,First-Time Dog Owner Essentials: What You Need to Know,1,6,4,False,False,68
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",1,5,4,False,False,65
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,1,5,5,False,False,65
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,1,5,4,False,False,65
5418,Dog Harness Types Explained: Finding the Right Fit,1,5,4,False,False,65
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",1,5,4,False,False,65
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,1,5,0,True,True,65
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,1,4,4,False,False,62
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,1,4,4,False,False,62
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,1,4,4,False,False,62
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,2,12,0,False,False,60
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,0,0,0,True,True,20
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,0,0,0,True,False,10
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,0,0,0,True,False,10
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,0,0,0,True,False,10
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,0,0,0,True,False,10
5423,Dog Toy Enrichment: Beyond Basic Fetch,0,0,0,True,False,10
4789,Best Types of Dog Toys for Different Play Styles,0,0,0,True,False,10
4783,How to Choose the Right Dog Bed Size,0,0,0,True,False,10
4415,Cat Toy Safety Guide: What Every Owner Should Know,0,0,0,True,False,10
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,0,0,0,True,False,10
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,0,0,0,False,True,10
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,0,0,0,True,False,10
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,0,0,0,True,False,10
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,0,0,0,True,False,10
4314,Best Cat Litter Trays UK (2026) – Complete Guide,0,0,0,True,False,10
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,0,0,0,True,False,10
