post_id,title,word_count,has_steps,has_practical_example,has_measurable_guidance,has_troubleshooting,has_beginner_access,has_temporal_guidance,has_structured_checklist,has_safety_clarity,actionability_score
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,3086,True,True,True,True,True,True,False,True,90
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,1793,True,True,True,True,False,True,True,True,90
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,3141,False,True,True,True,True,True,True,True,80
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",3223,False,True,True,True,True,True,True,True,80
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,2945,True,True,False,True,False,True,True,True,75
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,1876,True,True,False,True,False,True,True,True,75
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,1918,True,True,False,True,False,True,True,True,75
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,2023,True,True,False,False,False,True,True,True,65
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,3224,False,True,False,True,False,True,True,True,55
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,3426,False,True,False,True,False,True,True,True,55
5423,Dog Toy Enrichment: Beyond Basic Fetch,1899,False,True,False,True,False,True,True,True,55
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,1438,False,True,False,True,False,True,True,True,55
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",3281,False,False,False,True,True,True,True,True,45
5419,Cat Care Basics: A Glossary for New Cat Owners,2362,False,False,False,True,True,True,True,True,45
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,2108,False,False,False,True,True,True,True,True,45
4570,First-Time Dog Owner Essentials: What You Need to Know,1430,True,False,False,False,True,True,False,True,45
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,1243,True,False,False,True,False,True,False,True,45
4571,Pet First Aid Basics: What Every Owner Should Know,1070,True,False,False,True,False,True,False,True,45
