post_id,title,has_trust_block,has_disclosure,has_methodology_link,has_corrections_link,has_ai_transparency,has_qa_link,has_date_updated,has_external_trust_refs,trust_density_score
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,True,True,True,True,True,True,False,True,90
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,True,True,True,True,True,True,False,True,90
4792,Puppy Socialisation: A Complete Timeline Guide,True,False,True,True,True,True,True,True,85
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",True,False,True,True,True,True,False,True,75
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,True,False,True,True,True,True,False,True,75
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",True,False,True,True,True,True,False,True,75
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,True,False,True,True,True,True,False,True,75
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",True,False,True,True,True,True,False,True,75
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,True,False,True,True,True,True,False,True,75
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",True,False,True,True,True,True,False,True,75
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,True,False,True,True,True,True,False,True,75
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,True,False,True,True,True,True,False,True,75
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,True,True,True,True,True,True,False,False,75
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,True,True,True,True,True,True,False,False,75
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,True,True,True,True,True,True,False,False,75
4314,Best Cat Litter Trays UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,True,True,True,True,True,True,False,False,75
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,True,True,True,True,True,True,False,False,75
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,True,True,True,True,True,True,False,False,75
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,True,True,True,True,True,True,False,False,75
