post_id,title,has_external_refs,external_ref_count,has_definitions,has_summary_block,has_faq,faq_count,has_trust_block,has_comparison_table,citation_score
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",True,2,True,False,True,24,True,True,85
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,True,3,True,False,True,30,True,False,80
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,True,2,False,True,True,24,True,True,80
4792,Puppy Socialisation: A Complete Timeline Guide,True,2,True,False,True,7,True,False,75
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,True,2,False,False,True,25,True,True,70
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,False,0,True,True,True,19,True,True,70
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",True,2,False,False,True,20,True,True,70
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,True,1,True,False,True,20,True,False,70
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,True,1,True,False,True,2,True,False,61
5950,Dog Toy Durability Guide: What Lasts and What Does Not,False,0,True,True,True,9,True,False,60
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",False,0,True,True,True,14,True,False,60
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,False,0,True,True,True,9,True,False,60
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,True,2,False,False,True,26,True,False,60
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",True,2,False,False,True,33,True,False,60
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",False,0,True,False,True,18,True,True,60
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,True,2,False,False,True,20,True,False,60
5418,Dog Harness Types Explained: Finding the Right Fit,False,0,True,False,True,17,True,True,60
5416,Dog Bed Types Explained: A Complete Glossary,False,0,True,False,True,17,True,True,60
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,False,0,True,True,True,7,True,False,60
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",False,0,True,False,True,7,True,True,60
4570,First-Time Dog Owner Essentials: What You Need to Know,False,0,True,False,True,7,True,True,60
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,False,0,True,False,True,7,True,True,60
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,False,0,True,False,True,16,True,True,60
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,False,0,True,False,True,16,True,True,60
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,False,0,True,False,True,13,True,True,60
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",True,1,False,False,True,17,True,False,55
3836,Best Dog Food UK (2026) - Complete Buying Guide,False,0,True,False,True,3,True,True,54
4568,Dog Dental Health: A Practical Care Guide,True,2,True,False,True,1,False,False,53
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,False,0,True,False,True,2,True,True,51
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,False,0,True,False,True,6,True,False,50
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,False,0,True,False,True,10,True,False,50
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,False,0,True,False,True,11,True,False,50
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",False,0,True,False,True,8,True,False,50
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,False,0,True,False,True,12,True,False,50
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,False,0,True,False,True,8,True,False,50
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,False,0,True,False,True,12,True,False,50
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,False,0,True,False,True,34,True,False,50
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,False,0,True,False,True,25,True,False,50
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,False,0,True,False,True,11,True,False,50
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",False,0,True,False,True,17,True,False,50
5419,Cat Care Basics: A Glossary for New Cat Owners,False,0,True,False,True,17,True,False,50
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,False,0,True,False,True,16,True,False,50
5414,Cat Toy Types Explained: A Complete Glossary,False,0,True,False,True,19,True,False,50
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,False,0,True,False,True,12,True,False,50
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,False,0,True,False,True,7,True,False,50
