post_id,title,total_internal_links,glossary_links,faq_links,trust_links,educational_links,hub_links,valid_links,broken_links,semantic_link_score
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,8,2,0,4,3,0,4,4,65
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,9,2,0,4,3,0,5,4,65
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,7,2,0,4,3,0,3,4,65
5950,Dog Toy Durability Guide: What Lasts and What Does Not,13,0,0,4,4,1,8,5,60
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",11,0,0,4,3,1,6,5,60
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,12,0,0,4,3,1,7,5,60
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,11,0,0,4,3,1,6,5,60
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",7,1,0,4,3,0,3,4,60
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",7,1,0,4,3,0,2,5,60
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,9,0,0,4,3,1,4,5,60
5462,Dog Training Terminology Explained: Key Concepts for New Owners,7,1,0,4,3,0,2,5,60
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,7,2,0,4,2,0,3,4,60
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,8,3,0,4,2,0,4,4,60
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,12,1,0,4,3,0,8,4,60
4783,How to Choose the Right Dog Bed Size,8,2,0,4,2,0,2,6,60
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,9,0,0,4,2,1,4,5,55
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",8,1,0,4,2,0,3,5,55
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,7,1,0,4,2,0,1,6,55
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,10,0,1,4,2,0,6,4,55
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,11,0,1,4,2,0,7,4,55
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,11,0,1,4,2,0,7,4,55
4792,Puppy Socialisation: A Complete Timeline Guide,8,1,0,4,2,0,3,5,55
4785,How to Wash and Maintain Your Dog's Bed,7,1,0,4,2,0,1,6,55
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,11,0,1,4,2,0,7,4,55
4188,Best Catnip Toys UK (2026) – What Works and Why,13,0,1,4,2,0,6,7,55
4174,Best Cat Toys UK (2026) – Complete Guide,12,0,1,4,2,0,5,7,55
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",9,0,0,4,1,1,4,5,50
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",6,1,0,4,1,0,2,4,50
5414,Cat Toy Types Explained: A Complete Glossary,11,0,0,4,4,0,7,4,50
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,8,0,0,4,3,0,1,7,50
5033,How to Choose the Right Cat Toy for Your Cat's Personality,11,0,1,4,1,0,7,4,50
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,11,0,1,4,1,0,7,4,50
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",8,1,0,4,1,0,3,5,50
4568,Dog Dental Health: A Practical Care Guide,8,1,0,4,1,0,2,6,50
4415,Cat Toy Safety Guide: What Every Owner Should Know,13,0,0,4,3,0,8,5,50
4414,Harness vs Collar: Which Is Better for Your Dog?,11,0,0,4,5,0,5,6,50
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,11,0,0,4,4,0,5,6,50
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",11,0,0,4,4,0,5,6,50
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,12,0,0,4,3,0,7,5,50
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,11,0,0,4,3,0,6,5,50
4408,How Often Should You Replace Cat Toys? A Practical Guide,10,0,0,4,3,0,5,5,50
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,10,0,0,4,3,0,3,7,50
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,10,0,0,4,3,0,3,7,50
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,10,0,0,4,3,0,3,7,50
4314,Best Cat Litter Trays UK (2026) – Complete Guide,10,0,0,4,3,0,3,7,50
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,10,0,0,4,3,0,3,7,50
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,10,0,0,4,3,0,3,7,50
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,10,0,0,4,3,0,3,7,50
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,10,0,0,4,3,0,3,7,50
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,10,0,0,4,3,0,3,7,50
4272,Best Cat ID Tags UK (2026) – Identification Guide,9,0,0,4,3,0,3,6,50
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,10,0,0,4,3,0,3,7,50
4258,Best Cat Collars UK (2026) – Complete Safety Guide,10,0,0,4,3,0,3,7,50
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,10,0,0,4,3,0,3,7,50
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,10,0,0,4,3,0,3,7,50
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,10,0,0,4,3,0,3,7,50
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,12,0,0,4,3,0,4,8,50
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,12,0,0,4,3,0,4,8,50
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,12,0,0,4,3,0,4,8,50
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,10,0,0,4,3,0,3,7,50
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,10,0,0,4,3,0,3,7,50
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,10,0,0,4,3,0,3,7,50
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,10,0,0,4,3,0,3,7,50
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,10,0,0,4,3,0,3,7,50
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,10,0,0,4,3,0,3,7,50
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",7,0,0,4,2,0,3,4,45
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,7,0,0,4,2,0,2,5,45
5425,Dog Toys FAQ: Common Questions Answered,12,0,0,4,2,0,8,4,45
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,11,0,0,4,2,0,7,4,45
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,10,0,0,4,2,0,6,4,45
5032,Cat Toys FAQ: Common Questions Answered,11,0,0,4,2,0,7,4,45
4789,Best Types of Dog Toys for Different Play Styles,8,0,1,4,0,0,2,6,45
4573,Seasonal Pet Safety: Protecting Pets Through the Year,7,0,0,4,2,0,2,5,45
