# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
post_id,title,url,post_status,index_status,post_type,permalink,rank_math_robots_status,rank_math_sitemap_inclusion,post_modified,missing_from_sitemap,suspected_cause,test_result,next_action
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,https://pethubonline.com/best-cat-litter-disposal-uk,publish,indexable,post,https://pethubonline.com/best-cat-litter-disposal-uk,index,no_missing,2026-05-27T20:16:41,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,https://pethubonline.com/best-self-cleaning-litter-trays-uk,publish,indexable,post,https://pethubonline.com/best-self-cleaning-litter-trays-uk,index,no_missing,2026-05-27T20:16:44,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,https://pethubonline.com/best-cat-litter-uk,publish,indexable,post,https://pethubonline.com/best-cat-litter-uk,index,no_missing,2026-05-27T20:16:48,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4314,Best Cat Litter Trays UK (2026) – Complete Guide,https://pethubonline.com/best-cat-litter-trays-uk,publish,indexable,post,https://pethubonline.com/best-cat-litter-trays-uk,index,no_missing,2026-05-27T20:16:52,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk,publish,indexable,post,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk,index,no_missing,2026-05-27T20:16:56,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,https://pethubonline.com/best-cardboard-cat-scratchers-uk,publish,indexable,post,https://pethubonline.com/best-cardboard-cat-scratchers-uk,index,no_missing,2026-05-27T20:16:59,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,https://pethubonline.com/best-cat-trees-uk,publish,indexable,post,https://pethubonline.com/best-cat-trees-uk,index,no_missing,2026-05-27T20:17:03,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,https://pethubonline.com/best-cat-scratching-posts-uk,publish,indexable,post,https://pethubonline.com/best-cat-scratching-posts-uk,index,no_missing,2026-05-27T20:17:06,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,https://pethubonline.com/best-cat-harnesses-uk,publish,indexable,post,https://pethubonline.com/best-cat-harnesses-uk,index,no_missing,2026-05-27T20:17:10,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
4272,Best Cat ID Tags UK (2026) – Identification Guide,https://pethubonline.com/best-cat-id-tags-uk,publish,indexable,post,https://pethubonline.com/best-cat-id-tags-uk,index,no_missing,2026-05-27T20:17:14,yes,REST_API_created_missing_RM_sitemap_table_registration,missing_from_post-sitemap.xml,test_REST_resave_trigger
