# generated_at: 2026-05-27T20:09:04Z
# snapshot_type: pre_bulk_update
# total_posts: 58
# sitemap_urls: 6
# missing_from_sitemap: 52
post_id,slug,title,status,post_date,modified,url,categories,category_ids,content_hash,in_sitemap,canonical
4335,best-cat-litter-disposal-uk,Best Cat Litter Disposal UK (2026) – Waste Management Guide,publish,2026-05-27T01:20:59,2026-05-27T20:57:58,https://pethubonline.com/best-cat-litter-disposal-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,6b98a0391b1a64ee,no,https://pethubonline.com/best-cat-litter-disposal-uk/
4328,best-self-cleaning-litter-trays-uk,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,publish,2026-05-27T01:20:40,2026-05-27T20:58:08,https://pethubonline.com/best-self-cleaning-litter-trays-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,4082e6ac9b51c62c,no,https://pethubonline.com/best-self-cleaning-litter-trays-uk/
4321,best-cat-litter-uk,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,publish,2026-05-27T01:20:21,2026-05-27T20:58:20,https://pethubonline.com/best-cat-litter-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,996c56a446ce45d0,no,https://pethubonline.com/best-cat-litter-uk/
4314,best-cat-litter-trays-uk,Best Cat Litter Trays UK (2026) – Complete Guide,publish,2026-05-27T01:20:00,2026-05-27T20:16:52,https://pethubonline.com/best-cat-litter-trays-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,800f22a672dd578b,no,https://pethubonline.com/best-cat-litter-trays-uk/
4307,best-wall-mounted-cat-scratchers-uk,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,publish,2026-05-27T01:17:14,2026-05-27T20:16:56,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,fd986b12ed69b4ec,no,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk/
4300,best-cardboard-cat-scratchers-uk,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,publish,2026-05-27T01:16:52,2026-05-27T20:16:59,https://pethubonline.com/best-cardboard-cat-scratchers-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,373d1d225caac759,no,https://pethubonline.com/best-cardboard-cat-scratchers-uk/
4293,best-cat-trees-uk,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,publish,2026-05-27T01:16:32,2026-05-27T20:17:03,https://pethubonline.com/best-cat-trees-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,5632ede3f740056a,no,https://pethubonline.com/best-cat-trees-uk/
4286,best-cat-scratching-posts-uk,Best Cat Scratching Posts UK (2026) – Complete Guide,publish,2026-05-27T01:16:11,2026-05-27T20:17:06,https://pethubonline.com/best-cat-scratching-posts-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,bffca1053a91a5ed,no,https://pethubonline.com/best-cat-scratching-posts-uk/
4279,best-cat-harnesses-uk,Best Cat Harnesses UK (2026) – Safe Walking Guide,publish,2026-05-27T01:13:34,2026-05-27T20:17:10,https://pethubonline.com/best-cat-harnesses-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,bf364ccf46836792,no,https://pethubonline.com/best-cat-harnesses-uk/
4272,best-cat-id-tags-uk,Best Cat ID Tags UK (2026) – Identification Guide,publish,2026-05-27T01:13:14,2026-05-27T20:17:14,https://pethubonline.com/best-cat-id-tags-uk,Cat Supplies; Pet Care; Product Reviews,1377; 1397; 1379,1fcc590f773225df,no,https://pethubonline.com/best-cat-id-tags-uk/
