cluster,post_count,avg_score,min_score,max_score,above_80,below_60,weakest_dimension,dimension_score,priority_actions
Pet Care General,2,50.4,48.9,51.9,0,2,practical_guidance,6.0,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Harnesses,8,54.6,41.9,66.7,0,5,practical_guidance,17.2,"Add comparison tables to all posts; Add UK prices, measurements, timelines"
Dog Care,1,55.7,55.7,55.7,0,1,practical_guidance,18.0,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Uncategorized,7,56.1,32.8,69.1,0,3,practical_guidance,14.9,"Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Indoor Cats,10,57.8,49.6,65.8,0,7,practical_guidance,17.4,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Toys,22,59.0,48.4,69.8,0,12,practical_guidance,19.6,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Cat Toys,14,59.7,50.5,71.2,0,9,practical_guidance,20.6,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Supplies,25,60.1,48.5,71.4,0,13,practical_guidance,22.0,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Beds,18,60.3,48.6,70.0,0,7,practical_guidance,27.0,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Puppy Care,16,61.3,47.8,70.8,0,7,practical_guidance,29.3,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Grooming,10,62.2,49.4,69.2,0,3,practical_guidance,38.8,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Training,7,63.2,49.6,71.5,0,2,practical_guidance,30.0,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Health,6,65.2,59.7,69.2,0,1,practical_guidance,38.8,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Cat Supplies,16,65.5,56.8,75.2,0,2,practical_guidance,37.5,"Add comparison tables to all posts; Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
Dog Food,6,72.8,58.7,79.5,0,1,practical_guidance,42.5,"Add UK prices, measurements, timelines; Improve opening paragraphs with direct answers"
