cluster,gap_type,posts_affected,gap_description,priority,recommended_action
Puppy Care,Missing Common Mistakes,43,43/85 posts lack Common Mistakes (cluster 49.4% vs reference 62.6%),0.79,Add Common Mistakes section to 43 posts to match Dog Toys reference (62.6% coverage)
Dog Training,Missing Faq,8,8/87 posts lack Faq (cluster 90.8% vs reference 97.7%),0.69,Add Faq section to 8 posts to match Dog Toys reference (97.7% coverage)
Puppy Care,Missing Key Takeaways,15,15/85 posts lack Key Takeaways (cluster 82.4% vs reference 90.1%),0.62,Add Key Takeaways section to 15 posts to match Dog Toys reference (90.1% coverage)
Cat Supplies,Missing Key Takeaways,22,22/125 posts lack Key Takeaways (cluster 82.4% vs reference 90.1%),0.62,Add Key Takeaways section to 22 posts to match Dog Toys reference (90.1% coverage)
Cat Supplies,Missing Comparison Table,18,18/125 posts lack Comparison Table (cluster 85.6% vs reference 92.4%),0.61,Add Comparison Table section to 18 posts to match Dog Toys reference (92.4% coverage)
Puppy Care,Missing Comparison Table,12,12/85 posts lack Comparison Table (cluster 85.9% vs reference 92.4%),0.58,Add Comparison Table section to 12 posts to match Dog Toys reference (92.4% coverage)
Dog Training,Missing Common Mistakes,41,41/87 posts lack Common Mistakes (cluster 52.9% vs reference 62.6%),0.58,Add Common Mistakes section to 41 posts to match Dog Toys reference (62.6% coverage)
Cat Supplies,Missing How We Evaluated,22,22/125 posts lack How We Evaluated (cluster 82.4% vs reference 90.1%),0.54,Add How We Evaluated section to 22 posts to match Dog Toys reference (90.1% coverage)
Cat Supplies,Missing Why We Reference,22,22/125 posts lack Why We Reference (cluster 82.4% vs reference 90.1%),0.54,Add Why We Reference section to 22 posts to match Dog Toys reference (90.1% coverage)
Dog Grooming,Missing Key Takeaways,9,9/55 posts lack Key Takeaways (cluster 83.6% vs reference 90.1%),0.52,Add Key Takeaways section to 9 posts to match Dog Toys reference (90.1% coverage)
Dog Beds,Missing Common Mistakes,51,51/111 posts lack Common Mistakes (cluster 54.1% vs reference 62.6%),0.51,Add Common Mistakes section to 51 posts to match Dog Toys reference (62.6% coverage)
Dog Beds,Missing Key Takeaways,18,18/111 posts lack Key Takeaways (cluster 83.8% vs reference 90.1%),0.5,Add Key Takeaways section to 18 posts to match Dog Toys reference (90.1% coverage)
Puppy Care,Missing When To Seek Help,14,14/85 posts lack When To Seek Help (cluster 83.5% vs reference 91.6%),0.49,Add When To Seek Help section to 14 posts to match Dog Toys reference (91.6% coverage)
Dog Grooming,Missing Common Mistakes,25,25/55 posts lack Common Mistakes (cluster 54.5% vs reference 62.6%),0.49,Add Common Mistakes section to 25 posts to match Dog Toys reference (62.6% coverage)
Puppy Care,Missing Faq,6,6/85 posts lack Faq (cluster 92.9% vs reference 97.7%),0.48,Add Faq section to 6 posts to match Dog Toys reference (97.7% coverage)
Dog Harnesses,Missing Faq,9,9/127 posts lack Faq (cluster 92.9% vs reference 97.7%),0.48,Add Faq section to 9 posts to match Dog Toys reference (97.7% coverage)
Cat Supplies,Missing When To Seek Help,20,20/125 posts lack When To Seek Help (cluster 84.0% vs reference 91.6%),0.46,Add When To Seek Help section to 20 posts to match Dog Toys reference (91.6% coverage)
Dog Beds,Missing Comparison Table,14,14/111 posts lack Comparison Table (cluster 87.4% vs reference 92.4%),0.45,Add Comparison Table section to 14 posts to match Dog Toys reference (92.4% coverage)
Cat Supplies,Missing Common Mistakes,56,56/125 posts lack Common Mistakes (cluster 55.2% vs reference 62.6%),0.44,Add Common Mistakes section to 56 posts to match Dog Toys reference (62.6% coverage)
Dog Food,Missing Beginner Recs,64,64/120 posts lack Beginner Recs (cluster 46.7% vs reference 53.4%),0.4,Add Beginner Recs section to 64 posts to match Dog Toys reference (53.4% coverage)
Dog Beds,Missing How We Evaluated,17,17/111 posts lack How We Evaluated (cluster 84.7% vs reference 90.1%),0.38,Add How We Evaluated section to 17 posts to match Dog Toys reference (90.1% coverage)
Dog Beds,Missing Why We Reference,17,17/111 posts lack Why We Reference (cluster 84.7% vs reference 90.1%),0.38,Add Why We Reference section to 17 posts to match Dog Toys reference (90.1% coverage)
Puppy Care,Missing How We Evaluated,13,13/85 posts lack How We Evaluated (cluster 84.7% vs reference 90.1%),0.38,Add How We Evaluated section to 13 posts to match Dog Toys reference (90.1% coverage)
Puppy Care,Missing Why We Reference,13,13/85 posts lack Why We Reference (cluster 84.7% vs reference 90.1%),0.38,Add Why We Reference section to 13 posts to match Dog Toys reference (90.1% coverage)
Dog Beds,Missing When To Seek Help,16,16/111 posts lack When To Seek Help (cluster 85.6% vs reference 91.6%),0.36,Add When To Seek Help section to 16 posts to match Dog Toys reference (91.6% coverage)
Puppy Care,Missing Glossary,14,14/85 posts lack Glossary (cluster 83.5% vs reference 90.8%),0.36,Add Glossary section to 14 posts to match Dog Toys reference (90.8% coverage)
Dog Health,Missing Common Mistakes,61,61/141 posts lack Common Mistakes (cluster 56.7% vs reference 62.6%),0.35,Add Common Mistakes section to 61 posts to match Dog Toys reference (62.6% coverage)
Dog Health,Missing Faq,8,8/141 posts lack Faq (cluster 94.3% vs reference 97.7%),0.34,Add Faq section to 8 posts to match Dog Toys reference (97.7% coverage)
Dog Grooming,Missing How We Evaluated,8,8/55 posts lack How We Evaluated (cluster 85.5% vs reference 90.1%),0.32,Add How We Evaluated section to 8 posts to match Dog Toys reference (90.1% coverage)
