cluster,posts,avg_word_count,faq_pct,comparison_pct,trust_pct,authority_pct,at_a_glance_pct,key_takeaways_pct,dominance_score,rank
Dog Toys,131,2425.0,97.7,92.4,100.0,100.0,100.0,90.1,97.4,1
Cat Toys,136,2401.0,97.8,90.4,100.0,100.0,100.0,88.2,96.9,2
Dog Harnesses,127,2425.0,92.9,95.3,100.0,100.0,99.2,90.6,96.9,3
Dog Food,120,2447.0,97.5,90.8,100.0,100.0,98.3,87.5,96.7,4
Dog Training,87,2412.0,90.8,94.3,100.0,100.0,98.9,89.7,96.2,5
Dog Health,141,2372.0,94.3,90.1,100.0,100.0,99.3,86.5,96.0,6
Dog Grooming,55,2475.0,96.4,89.1,100.0,100.0,100.0,83.6,96.0,7
Dog Beds,111,2351.0,94.6,87.4,100.0,100.0,98.2,83.8,95.2,8
Cat Supplies,125,2312.0,95.2,85.6,100.0,100.0,98.4,82.4,95.0,9
Puppy Care,85,2495.0,92.9,85.9,100.0,100.0,98.8,82.4,94.6,10
