post_id,title,cluster,slug,query,tier,tier_rank,tier_description
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,essential cat supplies for cat owners - number 1 must-haves,OWNED,1,Primary target query this post owns
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,sources and references,DEFENSIBLE,2,Supporting query directly related to core topic
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,compared: budget vs premium cat supply brands,DEFENSIBLE,2,Supporting query directly related to core topic
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,how this information was gathered?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,what toys do indoor cats need?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,how do i stop my cat scratching furniture?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,what litter is best for odour control?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,do cats need a gps tracker?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,how to evaluate?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,which option suits your situation?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,what to do next?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,how often should i clean my cat’s litter tray?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,how much does it cost to own a cat per year in the uk?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,what supplies do i need before bringing a cat home?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,is wet or dry cat food better?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,do indoor cats need different supplies than outdoor cats?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,which cat litter type is best for odour control?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,how many scratching posts does a cat need?,EMERGING,3,FAQ query representing growing search interest
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,what is the best essential cat supplies for cat owners - number 1 must-haves?,OPPORTUNITY,4,AI search opportunity query
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,how to choose the best essential cat supplies for cat owners - number 1 must-haves?,OPPORTUNITY,4,AI search opportunity query
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,essential-cat-supplies-for-cat-owners,compared: budget vs premium cat supply brands,COMPETITOR_CONTROLLED,5,Query where competitors currently dominate
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,best cat toys uk (2026) – complete guide,OWNED,1,Primary target query this post owns
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,quick summary,DEFENSIBLE,2,Supporting query directly related to core topic
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,product recommendations,DEFENSIBLE,2,Supporting query directly related to core topic
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,related guides,DEFENSIBLE,2,Supporting query directly related to core topic
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,how this information was gathered?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,why cat toys matter for uk indoor and outdoor cats?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,how we compare cat toys in the uk?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,what are the different types of cat toys available in the uk?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,what is cat toys uk: price?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,how to play with your cat effectively?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,how many toys does my cat need?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,my cat ignores toys. what can i do?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,how long should i play with my cat each day?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,are laser pointer toys safe for cats?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,what to expect?,EMERGING,3,FAQ query representing growing search interest
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,best-cat-toys-uk,how to evaluate?,EMERGING,3,FAQ query representing growing search interest
