cluster,posts,total_queries,owned_count,owned_pct,defensible_count,defensible_pct,emerging_count,emerging_pct,opportunity_count,opportunity_pct,competitor_controlled_count,competitor_controlled_pct,expansion_potential_pct,analysis_date
Dog Harnesses,4,84,4,4.8,9,10.7,62,73.8,8,9.5,1,1.2,83.3,2026-05-30
Dog Beds,15,315,15,4.8,44,14.0,211,67.0,30,9.5,15,4.8,76.5,2026-05-30
Cat Supplies,35,741,35,4.7,104,14.0,494,66.7,70,9.4,38,5.1,76.1,2026-05-30
Dog Care,16,305,16,5.2,43,14.1,200,65.6,32,10.5,14,4.6,76.1,2026-05-30
Pet Care,2,40,2,5.0,6,15.0,26,65.0,4,10.0,2,5.0,75.0,2026-05-30
Dog Health,7,145,7,4.8,21,14.5,94,64.8,14,9.7,9,6.2,74.5,2026-05-30
Uncategorized,45,956,45,4.7,135,14.1,619,64.7,90,9.4,67,7.0,74.2,2026-05-30
Dog Supplies,29,578,29,5.0,87,15.1,370,64.0,58,10.0,34,5.9,74.0,2026-05-30
Dog Food,5,105,5,4.8,15,14.3,67,63.8,10,9.5,8,7.6,73.3,2026-05-30
Indoor Cats,5,105,5,4.8,15,14.3,67,63.8,10,9.5,8,7.6,73.3,2026-05-30
Cat Toys,5,88,5,5.7,15,17.0,53,60.2,10,11.4,5,5.7,71.6,2026-05-30
