rank,cluster,posts,original_leadership_score,ownership,visibility,authority_moat,citation_confidence,ai_readiness,search_coverage,total_queries_owned,queries_per_post,enhanced_leadership_score,grade
1,Uncategorized,45,63.6,100.0,45.1,0.8,42.7,60.5,100,940,20.9,62.7,B
2,Cat Supplies,35,56.8,78.8,35.5,4.4,41.7,62.7,100,741,21.2,58.9,B
3,Dog Supplies,29,59.3,61.3,43.0,2.5,49.0,60.0,99.5,576,19.9,56.6,B
4,Dog Beds,15,51.6,33.5,41.9,2.4,52.5,61.8,100,315,21.0,51.9,C
5,Cat Toys,5,62.8,9.4,52.8,3.5,33.8,60.0,88.0,88,17.6,51.8,C
6,Dog Care,16,52.4,32.4,46.0,0.8,46.7,60.3,95.5,305,19.1,51.1,C
7,Dog Health,7,49.2,15.4,43.9,0.0,53.0,62.5,100,145,20.7,49.4,C
8,Dog Harnesses,4,49.2,8.9,51.2,0.0,46.0,60.0,100,84,21.0,49.0,C
9,Dog Food,5,48.6,11.1,39.5,2.5,60.8,60.0,100,104,20.8,48.1,C
10,Pet Care,2,43.9,4.3,44.6,0.0,28.5,60.0,100.0,40,20.0,47.1,C
11,Indoor Cats,5,46.1,11.2,39.9,2.2,34.2,62.2,100,105,21.0,47.0,C
