post_id,title,cluster,action,answer_text,word_count,status
8172,Our Research Standards,Uncategorized,already_exists,,,skipped
8171,Why PetHub Online Exists,Uncategorized,already_exists,,,skipped
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,already_exists,,,skipped
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,already_exists,,,skipped
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,already_exists,,,skipped
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,already_exists,,,skipped
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,already_exists,,,skipped
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,already_exists,,,skipped
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,already_exists,,,skipped
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,already_exists,,,skipped
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,already_exists,,,skipped
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,already_exists,,,skipped
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,already_exists,,,skipped
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,already_exists,,,skipped
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,already_exists,,,skipped
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,already_exists,,,skipped
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,already_exists,,,skipped
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,already_exists,,,skipped
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,already_exists,,,skipped
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,already_exists,,,skipped
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,already_exists,,,skipped
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,already_exists,,,skipped
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,already_exists,,,skipped
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,already_exists,,,skipped
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,already_exists,,,skipped
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,already_exists,,,skipped
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,already_exists,,,skipped
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,already_exists,,,skipped
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,already_exists,,,skipped
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,already_exists,,,skipped
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,already_exists,,,skipped
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,already_exists,,,skipped
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,already_exists,,,skipped
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,already_exists,,,skipped
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,already_exists,,,skipped
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,already_exists,,,skipped
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,already_exists,,,skipped
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,already_exists,,,skipped
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,already_exists,,,skipped
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,already_exists,,,skipped
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,already_exists,,,skipped
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,already_exists,,,skipped
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,already_exists,,,skipped
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,already_exists,,,skipped
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,already_exists,,,skipped
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,already_exists,,,skipped
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,already_exists,,,skipped
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,already_exists,,,skipped
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,already_exists,,,skipped
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,already_exists,,,skipped
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,already_exists,,,skipped
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,already_exists,,,skipped
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,already_exists,,,skipped
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,already_exists,,,skipped
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,already_exists,,,skipped
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,already_exists,,,skipped
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,already_exists,,,skipped
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,already_exists,,,skipped
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,already_exists,,,skipped
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,already_exists,,,skipped
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,already_exists,,,skipped
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,already_exists,,,skipped
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,already_exists,,,skipped
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,already_exists,,,skipped
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,already_exists,,,skipped
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,already_exists,,,skipped
