post_id,title,cluster,total_h2s,question_h2s,statement_h2s,snippet_readiness_pct,avg_first_para_words,overall_grade
8172,Our Research Standards,Uncategorized,9,2,7,22.2,22.7,D
8171,Why PetHub Online Exists,Uncategorized,6,2,4,33.3,33.8,D
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,11,1,10,9.1,13.7,F
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,11,1,10,9.1,3.1,F
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,11,0,11,0.0,10.9,F
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,12,0,12,0.0,8.7,F
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,11,1,10,9.1,12.4,F
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,11,0,11,0.0,8.1,F
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,11,3,8,27.3,29.0,D
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,10,0,10,0.0,30.6,F
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,9,1,8,11.1,9.6,F
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,12,2,10,16.7,48.2,F
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,12,3,9,25.0,22.1,D
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,10,1,9,10.0,20.2,F
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,11,1,10,9.1,29.1,F
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,11,1,10,9.1,31.3,F
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,13,2,11,15.4,26.3,F
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,3,0,3,0.0,10.3,F
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,6,0,6,0.0,39.3,F
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,3,0,3,0.0,24.3,F
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,5,0,5,0.0,45.8,F
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,7,0,7,0.0,57.9,F
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,7,0,7,0.0,54.9,F
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,6,0,6,0.0,37.7,F
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,3,0,3,0.0,29.7,F
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,0,0,0,0,0,F
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,0,0,0,0,0,F
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,0,0,0,0,0,F
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,2,0,2,0.0,12.0,F
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,2,0,2,0.0,12.0,F
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,2,0,2,0.0,12.0,F
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,0,0,0,0,0,F
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,2,0,2,0.0,12.0,F
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,0,0,0,0,0,F
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,3,0,3,0.0,30.0,F
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,2,0,2,0.0,12.0,F
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,0,0,0,0,0,F
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,0,0,0,0,0,F
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,2,0,2,0.0,12.0,F
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,2,0,2,0.0,12.0,F
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,3,0,3,0.0,31.0,F
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,2,0,2,0.0,12.0,F
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,3,0,3,0.0,26.3,F
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,2,0,2,0.0,12.0,F
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,2,0,2,0.0,12.0,F
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,3,0,3,0.0,20.7,F
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,2,0,2,0.0,12.0,F
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,2,0,2,0.0,34.0,F
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,3,0,3,0.0,24.7,F
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,2,0,2,0.0,12.0,F
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,0,0,0,0,0,F
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,3,0,3,0.0,23.0,F
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,2,0,2,0.0,12.0,F
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,2,0,2,0.0,12.0,F
