post_id,title,cluster,url_slug,citation_status,citability_score,has_structured_data,has_source_citations,has_qa_format,has_unique_data,word_count,confidence_level,notes
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,dog-bed-sizing-guide,estimated,73,yes,yes,yes,yes,6675,high,21 FAQs; 13 H2s; 18 lists/tables; 32 links; comprehensive depth
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,best-puppy-toys-uk,estimated,72,yes,yes,yes,yes,5801,high,19 FAQs; 16 H2s; 28 lists/tables; 48 links; comprehensive depth
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,indoor-cat-care-guide,estimated,72,yes,yes,yes,yes,7076,high,16 FAQs; 14 H2s; 23 lists/tables; 44 links; comprehensive depth
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,best-dog-food-uk,estimated,68,yes,yes,yes,yes,7603,high,11 FAQs; 16 H2s; 56 lists/tables; 39 links; comprehensive depth
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,orthopaedic-care-dogs,estimated,67,yes,yes,yes,yes,6939,high,24 FAQs; 14 H2s; 22 lists/tables; 31 links; comprehensive depth
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,best-puppy-food-uk,estimated,66,yes,yes,yes,yes,5702,high,18 FAQs; 12 H2s; 29 lists/tables; 36 links; comprehensive depth
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,best-dog-beds-uk,estimated,65,yes,yes,yes,yes,4919,high,18 FAQs; 15 H2s; 24 lists/tables; 36 links; solid depth
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,best-dry-dog-food-uk,estimated,64,yes,yes,yes,yes,6237,medium,13 FAQs; 15 H2s; 27 lists/tables; 36 links; comprehensive depth
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,pet-feeding-guide,estimated,63,yes,yes,yes,yes,6822,medium,11 FAQs; 13 H2s; 22 lists/tables; 37 links; comprehensive depth
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,best-dog-grooming-supplies-uk,estimated,62,yes,yes,yes,yes,4985,medium,17 FAQs; 14 H2s; 25 lists/tables; 31 links; solid depth
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,cat-scratching-behaviour-explained,estimated,61,yes,yes,yes,yes,5647,medium,15 FAQs; 12 H2s; 25 lists/tables; 34 links; comprehensive depth
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,pet-nutrition-terminology-guide,estimated,60,yes,yes,yes,yes,6273,medium,12 FAQs; 10 H2s; 23 lists/tables; 36 links; comprehensive depth
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,pet-grooming-glossary,estimated,60,yes,yes,yes,yes,5865,medium,16 FAQs; 11 H2s; 19 lists/tables; 21 links; comprehensive depth
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,puppy-vaccination-schedule-uk,estimated,60,yes,yes,yes,yes,4387,medium,19 FAQs; 12 H2s; 28 lists/tables; 24 links; solid depth
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,top-dog-toys-every-pet-owner-needs-in-2026,estimated,59,yes,yes,yes,yes,5721,medium,9 FAQs; 15 H2s; 11 lists/tables; 181 links; comprehensive depth
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,best-dog-training-leads-uk,estimated,59,yes,yes,yes,yes,4539,medium,17 FAQs; 13 H2s; 23 lists/tables; 26 links; solid depth
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,best-dog-water-bottles-uk,estimated,59,yes,yes,yes,yes,4440,medium,15 FAQs; 14 H2s; 22 lists/tables; 39 links; solid depth
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,dog-bed-materials-guide,estimated,59,yes,yes,yes,yes,4051,medium,18 FAQs; 13 H2s; 25 lists/tables; 29 links; solid depth
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,dog-toys-faq,estimated,59,yes,yes,yes,yes,5247,medium,19 FAQs; 16 H2s; 25 lists/tables; 30 links; comprehensive depth
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,dry-vs-wet-dog-food-uk,estimated,58,yes,yes,yes,yes,5321,medium,13 FAQs; 11 H2s; 26 lists/tables; 36 links; comprehensive depth
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,best-orthopaedic-dog-beds-uk,estimated,58,yes,yes,yes,yes,4497,medium,15 FAQs; 14 H2s; 20 lists/tables; 29 links; solid depth
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,pet-toy-safety-guide,estimated,58,yes,yes,yes,yes,6286,medium,14 FAQs; 12 H2s; 24 lists/tables; 25 links; comprehensive depth
