post_id,title,cluster,authority_density,citation_confidence,quick_answer_coverage,snippet_readiness,faq_density,trust_depth,source_quality,visibility_readiness_score,grade
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,83.3,80,100,0,49.4,66.7,100,68.6,B
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,83.3,80,100,9.1,44.6,66.7,90,68.5,B
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,83.3,80,100,7.1,27.3,66.7,100,67.5,B
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,83.3,80,100,0,32.7,66.7,100,66.9,B
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,83.3,80,100,0,42.1,66.7,75,65.4,B
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,66.7,80,100,7.7,19.6,66.7,100,63.5,B
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,83.3,78,100,0,33.0,66.7,60,62.7,B
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,66.7,80,100,0,19.0,66.7,100,62.2,B
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,83.3,78,100,10.0,0,66.7,60,60.9,B
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,100,80,0,12.5,26.2,100,90,60.5,B
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,83.3,54,100,7.1,39.6,66.7,30,57.8,C
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,100,80,0,0,23.0,100,75,56.8,C
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,100,80,0,0,21.7,100,75,56.7,C
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,83.3,54,100,0,39.7,66.7,30,56.7,C
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,83.3,30,100,66.7,5.0,66.7,0,56.7,C
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,83.3,30,100,28.6,37.5,66.7,0,54.2,C
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,66.7,30,100,68.8,0,66.7,0,53.2,C
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,83.3,30,100,25.0,31.8,66.7,0,53.1,C
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,66.7,66,100,0,0,66.7,45,52.7,C
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,66.7,80,0,44.4,29.6,66.7,75,52.5,C
4568,Dog Dental Health: A Practical Care Guide,Dog Care,83.3,80,0,22.2,28.3,66.7,75,52.3,C
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,66.7,80,0,22.2,31.1,66.7,100,51.8,C
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,83.3,80,0,28.6,13.3,66.7,75,51.8,C
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,83.3,78,0,18.2,40.9,66.7,60,51.2,C
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,83.3,80,0,20.0,20.8,66.7,75,51.2,C
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,83.3,80,0,7.7,36.5,66.7,75,51.0,C
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,66.7,80,0,14.3,60.2,66.7,75,51.0,C
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,83.3,80,0,16.7,8.1,66.7,90,51.0,C
