post_id,title,cluster,slug,authority_score,ownership_score,visibility_score,snippet_score,citation_score,search_coverage_score,overall_dominance,grade,analysis_date
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,dog-bed-sizing-guide,63.6,90.3,91.4,0.0,100.0,50.0,67.0,B,2026-05-30
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,orthopaedic-care-dogs,63.6,100.0,79.0,0.0,91.8,53.1,65.3,B,2026-05-30
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,puppy-vaccination-schedule-uk,49.2,83.9,66.0,33.4,82.2,70.5,63.5,B,2026-05-30
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,best-self-cleaning-litter-trays-uk,56.8,77.4,47.2,66.6,63.0,76.4,63.3,B,2026-05-30
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,indoor-cat-care-guide,63.6,77.4,84.3,0.0,98.6,40.5,62.1,B,2026-05-30
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,pet-health-terminology-guide,63.6,71.0,100.0,0.0,74.0,49.8,61.9,B,2026-05-30
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,puppy-development-stages-guide,63.6,90.3,76.8,0.0,74.0,59.3,61.6,B,2026-05-30
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,dog-behaviour-explained,63.6,74.2,99.9,0.0,67.1,51.0,61.5,B,2026-05-30
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,best-cat-grooming-supplies-uk,56.8,71.0,46.9,66.6,65.8,66.7,61.3,B,2026-05-30
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,kitten-vs-adult-cat-toys-age-appropriate,56.8,61.3,47.4,100.0,42.5,63.8,61.0,B,2026-05-30
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,puppy-teething-guide-stages-signs,49.2,67.7,66.0,54.6,65.8,65.2,61.0,B,2026-05-30
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,dog-toys-faq,59.3,83.9,77.6,0.0,80.8,59.0,60.9,B,2026-05-30
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,dog-health-basics-guide,63.6,71.0,98.4,0.0,71.2,44.8,60.5,B,2026-05-30
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,dog-toy-rotation-guide,63.6,83.9,74.3,0.0,71.2,62.6,60.2,B,2026-05-30
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,dog-bed-materials-guide,51.6,80.6,72.6,0.0,80.8,73.6,60.1,B,2026-05-30
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,dog-bed-safety-non-toxic-materials,51.6,67.7,55.1,50.0,69.9,67.9,59.7,C,2026-05-30
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,pet-grooming-glossary,63.6,80.6,74.6,0.0,82.2,50.7,59.7,C,2026-05-30
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,dog-training-equipment-guide,63.6,71.0,95.3,0.0,71.2,42.4,59.5,C,2026-05-30
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,best-cardboard-cat-scratchers-uk,56.8,61.3,56.9,66.6,57.5,59.3,59.4,C,2026-05-30
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,cat-enrichment-activities-beyond-toys,56.8,51.6,50.1,100.0,37.0,62.4,59.0,C,2026-05-30
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,best-puppy-toys-uk,59.3,83.9,59.0,0.0,98.6,53.3,59.0,C,2026-05-30
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,how-to-wash-dog-bed-safely,51.6,64.5,72.6,30.8,69.9,61.9,58.9,C,2026-05-30
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,best-dog-training-leads-uk,59.3,77.4,68.8,0.0,80.8,62.9,58.8,C,2026-05-30
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,confidence-building-play-dogs,63.6,74.2,75.5,0.0,46.6,85.0,58.7,C,2026-05-30
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,senior-dog-toys,63.6,83.9,66.3,0.0,72.6,58.3,58.2,C,2026-05-30
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,best-cat-nail-clippers-uk,56.8,87.1,54.2,0.0,61.6,89.5,57.9,C,2026-05-30
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,pet-toy-safety-guide,63.6,74.2,77.4,0.0,79.5,43.6,57.8,C,2026-05-30
8171,Why PetHub Online Exists,Uncategorized,why-pethub-online-exists,63.6,58.1,46.6,66.6,24.7,89.0,57.8,C,2026-05-30
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,best-cooling-dog-beds-uk,51.6,74.2,72.4,0.0,78.1,64.0,57.2,C,2026-05-30
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,dog-harnesses-complete-guide,52.4,67.7,88.2,0.0,60.3,65.7,57.2,C,2026-05-30
