post_id,title,cluster,ai_visibility_score,grade,ai_readiness,faq_quality_norm,citation_likelihood,link_authority,entity_coverage,answer_extraction,faq_count,inbound_links,citation_readiness,answer_readiness
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Beginner Guides,58.5,B,88.0,0.0,80.0,2.4,97.0,100.0,8,0,DEVELOPING,READY
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Toys & Enrichment,58.5,B,74.0,0.0,50.0,100.0,48.0,90.0,4,0,DEVELOPING,READY
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Toys & Enrichment,58.4,B,88.0,0.0,80.0,0.0,100.0,100.0,8,0,DEVELOPING,READY
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Toys & Enrichment,58.4,B,84.0,0.0,78.0,44.9,53.0,95.0,4,0,DEVELOPING,READY
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Grooming,58.3,B,88.0,0.0,80.0,0.0,99.0,100.0,8,0,DEVELOPING,READY
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Health,58.2,B,88.0,0.0,80.0,0.0,98.0,100.0,8,0,DEVELOPING,READY
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Toys & Enrichment,58.1,B,88.0,0.0,80.0,0.0,97.0,100.0,8,0,DEVELOPING,READY
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Toys & Enrichment,58.1,B,87.0,0.0,80.0,2.5,96.0,100.0,8,0,DEVELOPING,READY
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Pet Gear,58.0,B,86.0,0.0,80.0,2.4,98.0,100.0,8,0,DEVELOPING,READY
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Grooming,57.8,B,87.0,0.0,80.0,0.0,97.0,100.0,8,0,DEVELOPING,READY
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Breeds,57.6,B,69.0,0.0,50.0,100.0,54.0,90.0,4,0,DEVELOPING,NEAR_READY
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Pet Gear,57.2,B,89.0,0.0,75.0,0.0,93.0,100.0,8,0,DEVELOPING,READY
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Grooming,57.0,B,83.0,0.0,80.0,2.4,97.0,100.0,8,0,DEVELOPING,READY
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,General Pet Care,56.8,B,86.0,0.0,75.0,2.4,94.0,100.0,8,0,DEVELOPING,READY
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food & Nutrition,56.6,B,86.0,0.0,75.0,2.5,92.0,100.0,8,0,DEVELOPING,READY
5462,Dog Training Terminology Explained: Key Concepts for New Owners,General Pet Care,56.4,B,84.0,0.0,75.0,4.9,92.0,100.0,8,0,DEVELOPING,READY
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Toys & Enrichment,56.0,B,84.0,0.0,75.0,0.0,95.0,100.0,8,0,DEVELOPING,READY
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food & Nutrition,55.7,B,89.0,0.0,78.0,7.5,67.0,95.0,5,0,DEVELOPING,READY
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Toys & Enrichment,55.5,B,86.0,0.0,70.0,20.5,66.0,95.0,8,0,DEVELOPING,READY
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food & Nutrition,54.4,C+,88.0,0.0,78.0,6.7,58.0,95.0,1,0,DEVELOPING,READY
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Toys & Enrichment,54.4,C+,84.0,0.0,70.0,20.7,66.0,90.0,8,0,DEVELOPING,READY
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,52.7,C+,82.0,0.0,60.0,2.4,87.0,100.0,8,0,DEVELOPING,READY
4174,Best Cat Toys UK (2026) – Complete Guide,Product Reviews,51.4,C+,77.0,0.0,68.0,38.4,38.0,85.0,2,0,DEVELOPING,NEAR_READY
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Toys & Enrichment,51.4,C+,67.0,0.0,60.0,56.9,48.0,90.0,2,0,DEVELOPING,NEAR_READY
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Product Reviews,50.8,C+,81.0,0.0,68.0,16.0,49.0,90.0,3,0,DEVELOPING,READY
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Product Reviews,50.8,C+,76.0,0.0,68.0,29.0,44.0,90.0,3,0,DEVELOPING,READY
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Toys & Enrichment,50.5,C+,78.0,0.0,70.0,0.0,71.0,95.0,7,0,DEVELOPING,READY
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Toys & Enrichment,50.0,C+,77.0,0.0,68.0,18.1,50.0,90.0,4,0,DEVELOPING,READY
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Health,50.0,C+,74.0,0.0,55.0,48.5,38.0,85.0,3,0,DEVELOPING,READY
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food & Nutrition,49.8,C+,82.0,0.0,58.0,9.8,60.0,90.0,6,0,DEVELOPING,READY
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Product Reviews,49.4,C+,79.0,0.0,68.0,18.1,43.0,85.0,3,0,DEVELOPING,READY
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Grooming,49.3,C+,78.0,0.0,70.0,2.5,55.0,95.0,4,0,DEVELOPING,READY
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Beginner Guides,49.0,C+,76.0,0.0,68.0,13.3,50.0,90.0,4,0,DEVELOPING,READY
4789,Best Types of Dog Toys for Different Play Styles,Dog Breeds,48.9,C+,72.0,0.0,65.0,32.7,41.0,85.0,3,0,DEVELOPING,NEAR_READY
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Grooming,48.8,C+,70.0,0.0,70.0,21.8,50.0,90.0,3,0,DEVELOPING,NEAR_READY
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food & Nutrition,48.5,C+,83.0,0.0,58.0,4.1,53.0,90.0,5,0,DEVELOPING,READY
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Product Reviews,48.5,C+,81.0,0.0,68.0,6.2,41.0,90.0,3,0,DEVELOPING,READY
5425,Dog Toys FAQ: Common Questions Answered,Toys & Enrichment,48.2,C+,80.0,0.0,60.0,0.0,57.0,95.0,4,0,DEVELOPING,READY
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Product Reviews,48.2,C+,74.0,0.0,68.0,18.1,46.0,85.0,3,0,DEVELOPING,READY
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Toys & Enrichment,48.0,C+,73.0,0.0,65.0,18.0,46.0,90.0,3,0,DEVELOPING,READY
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Pet Gear,47.7,C+,77.0,0.0,73.0,6.5,37.0,90.0,2,0,DEVELOPING,READY
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Grooming,47.5,C+,79.0,0.0,68.0,6.8,41.0,85.0,3,0,DEVELOPING,READY
