gap_description
Dog Food: needs glossary pages (25.0% coverage)
Dog Beds: needs glossary pages (11.1% coverage)
Dog Beds: needs trust blocks (44.4% coverage)
Dog Supplies: needs glossary pages (0.0% coverage)
Dog Supplies: needs trust blocks (22.2% coverage)
Pet Care: needs glossary pages (0.0% coverage)
Cat Toys: needs glossary pages (0.0% coverage)
Dog Harnesses: needs glossary pages (25.0% coverage)
Dog Harnesses: needs trust blocks (0.0% coverage)
Dog Care: needs glossary pages (8.3% coverage)
Dog Care: needs trust blocks (0.0% coverage)
Buying Guides: needs glossary pages (0.0% coverage)
Buying Guides: needs trust blocks (0.0% coverage)
Dog Health: needs glossary pages (0.0% coverage)
Dog Health: needs trust blocks (0.0% coverage)
Cat Supplies: needs glossary pages (3.2% coverage)
Cat Supplies: needs trust blocks (3.2% coverage)
