post_id,title,type,severity,description,recommendation,current_value,target_value
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/dog-training-equipment-guide,0 inbound links,3+ inbound links
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/orthopaedic-care-dogs,0 inbound links,3+ inbound links
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/pet-health-terminology-guide,0 inbound links,3+ inbound links
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/indoor-cat-care-guide,0 inbound links,3+ inbound links
5512,Dog Behaviour Explained: Understanding Your Dogs Body Language and Actions,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/dog-behaviour-explained,0 inbound links,3+ inbound links
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/pet-toy-safety-guide,0 inbound links,3+ inbound links
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/senior-dog-toys,0 inbound links,3+ inbound links
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/pet-grooming-glossary,0 inbound links,3+ inbound links
5425,Dog Toys FAQ: Common Questions Answered,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/dog-toys-faq,0 inbound links,3+ inbound links
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/indoor-vs-outdoor-dog-toys,0 inbound links,3+ inbound links
5418,Dog Harness Types Explained: Finding the Right Fit,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/dog-harness-types-glossary,0 inbound links,3+ inbound links
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/puppy-care-essentials-glossary,0 inbound links,3+ inbound links
5416,Dog Bed Types Explained: A Complete Glossary,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/dog-bed-types-glossary,0 inbound links,3+ inbound links
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/multi-pet-household-tips,0 inbound links,3+ inbound links
4414,Harness vs Collar: Which Is Better for Your Dog?,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/harness-vs-collar-which-is-better,0 inbound links,3+ inbound links
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/how-to-measure-dog-for-harness,0 inbound links,3+ inbound links
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/dog-harnesses-complete-guide,0 inbound links,3+ inbound links
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/kitten-vs-adult-cat-toys-age-appropriate,0 inbound links,3+ inbound links
4408,How Often Should You Replace Cat Toys? A Practical Guide,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/how-often-replace-cat-toys,0 inbound links,3+ inbound links
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/diy-cat-toys-safe-homemade-options,0 inbound links,3+ inbound links
696,Essential Cat Supplies for Cat Owners  Number 1 Must-Haves,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/essential-cat-supplies-for-cat-owners,0 inbound links,3+ inbound links
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,ORPHAN_PAGE,HIGH,No internal links point to this page. It may be hard to discover.,Add 2-3 contextual internal links from related posts to: https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,0 inbound links,3+ inbound links
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,DEAD_END,MEDIUM,No outbound internal links. Crawlers and users hit a dead end.,Add 2-4 relevant internal links to other Dog Care posts.,0 outbound links,3-5 outbound links
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Pet Health cluster posts.,1 inbound links,3+ inbound links
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from General cluster posts.,1 inbound links,3+ inbound links
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Dog Care cluster posts.,1 inbound links,3+ inbound links
