post_id,title,cluster,outbound_internal_links,inbound_internal_links,avg_anchor_quality,authority_flow_score,crawl_reinforcement_score,link_quality_grade
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Pet Products,5,0,90.0,0,11.0,F
696,Essential Cat Supplies for Cat Owners  Number 1 Must-Haves,Cat Care,9,0,70.6,0,11.8,F
3836,Best Dog Food UK (2026)  Complete Buying Guide,Pet Products,11,3,82.7,6.7,32.7,D
3837,Best Dry Dog Food UK (2026)  Evidence-Based Guide,Dog Care,8,3,76.9,7.5,32.1,D
3838,Dry vs Wet Dog Food UK  An Honest Comparison Guide,Dog Care,4,2,85.0,4.1,31.2,D
3839,Best Puppy Food UK (2026)  Growth-Stage Nutrition Guide,Pet Nutrition,4,4,78.8,9.8,31.6,D
3956,Best Dog Toys UK (2026) – Complete Guide  Honest Reviews,Pet Products,14,19,82.5,44.9,36.4,C
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Pet Products,9,7,80.0,16.0,33.1,D
3959,Best Interactive Dog Toys UK (2026) – Puzzle  Enrichment Guide,Pet Products,10,8,81.0,18.1,33.5,D
3960,Best Puppy Toys UK (2026) – Teething  First Toys Guide,Pet Products,9,6,80.0,13.3,32.9,D
3996,Best Dog Beds UK (2026) – Complete Guide  Honest Reviews,Pet Products,14,13,80.4,29.0,35.3,D
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Pet Products,9,8,78.9,18.1,33.3,D
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Pet Products,9,8,78.9,18.1,33.3,D
4018,Best Puppy Beds UK (2026) – First Bed  Crate Training Guide,Pet Products,9,6,77.8,13.1,32.9,D
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Pet Products,7,3,81.4,6.2,32.0,D
4034,Best No-Pull Dog Harnesses UK (2026) – Training  Comfort Guide,Pet Products,7,4,77.9,9.7,32.1,D
4042,Best Dog Leads UK (2026) – Walking  Training Lead Guide,Dog Care,8,3,80.6,6.8,32.1,D
4049,Best Puppy Collars UK (2026) – First Collar  Harness Guide,Pet Products,6,4,77.5,9.1,32.0,D
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,10,3,81.0,6.8,32.5,D
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Pet Grooming,10,3,83.5,6.7,32.5,D
4071,Best Dog Shampoo UK (2026) – Ingredients  Safety Guide,Dog Care,10,3,85.0,6.0,32.5,D
4078,Best Dog Nail Clippers UK (2026) – Trimming  Grinding Guide,Pet Grooming,10,3,82.5,6.9,32.5,D
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Care,7,3,77.9,6.2,32.0,D
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Care,7,3,79.3,6.1,32.0,D
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Pet Health,7,3,77.1,6.8,32.0,D
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Care,7,3,75.7,7.1,32.0,D
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Care,9,3,78.9,6.2,32.3,D
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Care,8,5,78.8,11.7,32.5,D
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Care,9,7,81.7,15.8,33.1,D
4139,Best Dog Training Leads UK (2026) – Long Lines  Harnesses,Pet Products,7,4,77.1,9.4,32.1,D
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Pet Products,10,3,78.5,6.2,32.5,D
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Pet Products,10,3,81.0,6.7,32.5,D
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Pet Products,10,3,82.5,6.5,32.5,D
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Care,10,3,82.5,6.9,32.5,D
4174,Best Cat Toys UK (2026) – Complete Guide,Pet Products,12,16,79.2,38.4,35.5,D
4181,Best Interactive Cat Toys UK (2026) – Wand  Puzzle Guide,Pet Products,8,3,80.6,7.0,32.1,D
4188,Best Catnip Toys UK (2026) – What Works and Why,Pet Products,13,9,84.6,20.7,34.3,D
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Pet Products,8,3,85.0,6.7,32.1,D
4202,Best Cat Beds UK (2026) – Complete Guide,Pet Products,7,3,77.1,6.9,32.0,D
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Pet Products,7,3,84.3,7.0,32.0,D
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Pet Products,11,3,80.9,7.2,32.7,D
4223,Best Cat Window Perches UK (2026) – Sunning  Bird Watching,Cat Care,7,3,84.3,6.9,32.0,D
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Care,10,3,81.0,6.7,32.5,D
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Pet Grooming,10,3,86.0,7.2,32.5,D
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Pet Grooming,10,3,86.0,6.9,32.5,D
4251,Best Cat Shampoo UK (2026) – When  How to Bathe,Pet Grooming,10,3,86.0,7.1,32.5,D
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Pet Products,10,3,82.5,6.8,32.5,D
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Care,10,3,86.0,6.9,32.5,D
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Care,9,3,85.6,7.3,32.3,D
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Pet Products,10,3,86.0,7.2,32.5,D
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Care,10,3,82.5,6.7,32.5,D
4293,Best Cat Trees UK (2026) – Climbing  Scratching Towers,Cat Care,10,3,86.0,7.0,32.5,D
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Care,10,3,86.0,7.2,32.5,D
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Care,10,3,86.0,7.1,32.5,D
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Care,10,3,81.0,6.9,32.5,D
4321,Best Cat Litter UK (2026) – Types  Comparison Guide,Cat Care,10,3,86.0,6.6,32.5,D
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Care,10,3,85.0,7.1,32.5,D
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Care,10,3,85.0,7.0,32.5,D
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Pet Products,7,6,85.7,14.6,32.5,D
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Care,1,0,90.0,0,10.2,F
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Care,4,0,90.0,0,10.8,F
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Care,4,0,90.0,0,10.8,F
