post_id,title,cluster,faq_count,avg_conversational,avg_extraction,avg_usefulness,avg_directness,avg_query_coverage,avg_beginner,avg_ai_suitability,overall_faq_quality_score,grade
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",dog-health,8,7.8,8.2,6.8,7.8,10,6.1,7.5,7.8,A
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,general-pets,8,7.7,8.6,6.5,7.2,10,6.4,7.8,7.8,A
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,dog-food,6,7.6,8.5,6.8,7.8,9.5,6.4,7.5,7.8,A
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",dog-training,8,7.4,8.6,5.7,7.9,10,6.3,7.8,7.7,A-
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",general-pets,8,7.6,8.4,6.0,7.8,10,5.8,7.6,7.7,A-
5032,Cat Toys FAQ: Common Questions Answered,general-pets,8,7.3,8.5,6.5,7.2,9.7,6.1,7.7,7.7,A-
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",general-pets,8,7.4,8.2,6.2,7.4,10,6.0,7.5,7.6,A-
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,general-pets,8,7.6,8.3,5.9,7.7,10,6.1,7.6,7.6,A-
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,cat-care,8,7.4,8.5,6.3,7.6,8.9,6.1,7.8,7.6,A-
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,general-pets,8,7.9,8.1,5.7,8.2,9.9,5.9,7.6,7.6,A-
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,general-pets,8,7.8,8.4,5.9,6.9,9.7,6.2,7.7,7.6,A-
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",pet-products,8,7.3,8.3,6.3,7.5,10,5.7,7.5,7.6,A-
5419,Cat Care Basics: A Glossary for New Cat Owners,cat-health,4,7.8,8.3,6.8,6.9,8.7,6.1,7.8,7.6,A-
4791,How to Choose the Right Dog Training Treats,dog-training,3,8.0,8.5,6.6,8.5,7.6,6.2,7.8,7.6,A-
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,general-pets,4,7.8,8.4,5.8,7.9,9.0,6.2,7.9,7.6,A-
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",general-pets,8,7.5,8.3,5.7,7.4,9.5,5.9,7.6,7.5,A-
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,general-pets,580,7.5,8.2,5.8,7.2,10,6.4,7.5,7.5,A-
