post_id,title,cluster,word_count,educational_depth,entity_density,faq_richness,glossary_richness,answer_density,support_content_richness,semantic_breadth,ai_answer_coverage,trust_reinforcement,overall_score,grade
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Education,2609,95,100,94,60,75,62,100,70,100,84.9,A
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food & Nutrition,2753,90,100,88,0,100,47,100,85,100,81.0,A
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food & Nutrition,4074,95,100,60,0,100,44,100,58,100,74.9,A-
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,3497,100,100,94,57,30,43,100,35,100,74.2,A-
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Training,2216,95,99.5,88,60,30,58,100,35,100,74.2,A-
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Care,2885,95,100,94,51,25,51,100,40,100,73.5,A-
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food & Nutrition,2646,95,100,94,69,25,39,100,35,97,73.5,A-
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Grooming,2688,95,100,86,81,35,16,100,35,97,73.1,A-
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food & Nutrition,1919,83,100,94,0,100,31,100,85,24,72.6,A-
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food & Nutrition,2162,95,100,80,33,50,43,100,40,100,72.4,A-
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,2354,95,100,86,81,15,43,100,35,91,72.3,A-
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,3315,100,100,100,51,15,43,100,35,91,71.7,A-
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Toys & Enrichment,1494,77,100,88,0,75,86,100,70,32,71.3,A-
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",General,2694,95,57.5,86,78,40,43,100,35,100,70.7,A-
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,1216,77,100,80,0,75,86,100,70,35,70.6,A-
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,2500,95,92.5,94,57,15,43,100,35,97,70.5,A-
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,2764,95,100,94,54,30,43,100,35,70,70.5,A-
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,2039,95,77.5,88,54,35,47,100,35,94,70.1,A-
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Beginner Guides,2701,95,60.5,100,60,30,43,100,35,100,69.8,B+
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,959,70,96.0,88,0,75,66,100,70,44,69.2,B+
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,950,70,76.5,64,0,65,86,100,63,100,68.6,B+
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,817,70,63.5,70,0,70,86,100,63,100,68.4,B+
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Toys & Enrichment,1380,77,73.5,88,0,75,89,100,70,32,68.3,B+
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Grooming,1002,77,91.5,80,0,75,70,100,70,32,68.0,B+
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,973,70,66.0,62,0,70,86,100,63,100,67.7,B+
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Toys & Enrichment,1292,77,92.5,72,0,75,66,100,70,32,66.8,B+
