post_id,title,cluster,word_count,trust_link_count,trust_block_present,trust_keyword_count,trust_keyword_density,has_methodology_link,has_transparency_link,has_qa_link,has_corrections_link,has_disclosure_link,trust_propagation_score,grade,top_trust_keywords
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,3497,4,yes,33,9.44,yes,yes,yes,yes,no,100,A+,veterinary:26|editorial:2|methodology:1|transparency:1|quality assurance:1
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Education,2609,4,yes,29,11.12,yes,yes,yes,yes,no,100,A+,veterinary:23|editorial:2|methodology:1|transparency:1|quality assurance:1
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,2764,4,yes,29,10.49,yes,yes,yes,yes,no,100,A+,veterinary:19|editorial:3|transparency:2|methodology:1|quality assurance:1
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Training,2216,4,yes,12,5.42,yes,yes,yes,yes,no,100,A+,veterinary:3|editorial:2|reliable:2|methodology:1|transparency:1
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Toys & Enrichment,1231,4,yes,7,5.69,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Beginner Guides,1617,4,yes,9,5.57,yes,yes,yes,yes,no,100,A+,reliable:3|editorial:2|methodology:1|transparency:1|quality assurance:1
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Pet Education,869,4,yes,6,6.9,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,831,4,yes,6,7.22,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,1136,4,yes,6,5.28,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,484,4,yes,6,12.4,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,487,4,yes,6,12.32,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,792,4,yes,6,7.58,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,1233,4,yes,8,6.49,yes,yes,yes,yes,no,100,A+,editorial:2|reliable:2|methodology:1|transparency:1|quality assurance:1
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,1049,4,yes,6,5.72,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,845,4,yes,6,7.1,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4791,How to Choose the Right Dog Training Treats,Dog Training,712,4,yes,6,8.43,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4790,DIY Dog Toys: Safe Homemade Options,Toys & Enrichment,759,4,yes,6,7.91,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4789,Best Types of Dog Toys for Different Play Styles,Toys & Enrichment,815,4,yes,6,7.36,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,General,793,4,yes,6,7.57,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4787,Dog Toy Safety: What Every Owner Needs to Know,Toys & Enrichment,729,4,yes,9,12.35,yes,yes,yes,yes,no,100,A+,editorial:2|veterinary:2|methodology:1|transparency:1|quality assurance:1
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,General,822,4,yes,6,7.3,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4785,How to Wash and Maintain Your Dog's Bed,Grooming,797,4,yes,6,7.53,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,756,4,yes,6,7.94,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4783,How to Choose the Right Dog Bed Size,Dog Beds,657,4,yes,6,9.13,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4573,Seasonal Pet Safety: Protecting Pets Through the Year,General Pet Care,618,4,yes,6,9.71,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4570,First-Time Dog Owner Essentials: What You Need to Know,Beginner Guides,807,4,yes,11,13.63,yes,yes,yes,yes,no,100,A+,veterinary:5|editorial:2|methodology:1|transparency:1|quality assurance:1
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,General Pet Care,759,4,yes,6,7.91,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,General Pet Care,660,4,yes,7,10.61,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|veterinary:1
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Health,637,4,yes,6,9.42,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4568,Dog Dental Health: A Practical Care Guide,Dog Health,664,4,yes,9,13.55,yes,yes,yes,yes,no,100,A+,veterinary:3|editorial:2|methodology:1|transparency:1|quality assurance:1
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,General Pet Care,674,4,yes,6,8.9,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4563,Dog Grooming Basics: A Complete Guide for Owners,Grooming,694,4,yes,7,10.09,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|veterinary:1
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,610,4,yes,6,9.84,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,799,4,yes,6,7.51,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Gear,510,4,yes,6,11.76,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Gear,615,4,yes,6,9.76,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Gear,857,4,yes,6,7.0,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,669,4,yes,6,8.97,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,609,4,yes,6,9.85,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,570,4,yes,6,10.53,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,602,4,yes,6,9.97,yes,yes,yes,yes,no,100,A+,editorial:2|methodology:1|transparency:1|quality assurance:1|corrections:1
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,863,6,yes,11,12.75,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Product Reviews,792,6,yes,12,15.15,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,784,6,yes,11,14.03,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,1027,6,yes,11,10.71,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,782,6,yes,11,14.07,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,764,6,yes,11,14.4,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,816,6,yes,11,13.48,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,973,6,yes,11,11.31,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,821,6,yes,12,14.62,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,833,6,yes,12,14.41,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,817,6,yes,12,14.69,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,950,6,yes,11,11.58,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,817,6,yes,12,14.69,yes,yes,yes,yes,yes,100,A+,editorial:4|disclosure:2|methodology:1|transparency:1|quality assurance:1
