cluster,post_count_previous,post_count_current,growth_velocity,saturation_score,trust_density_score,trust_density_growth,entity_density_score,entity_density_growth,faq_density,faq_density_growth,ai_readiness,ai_readiness_growth,maturity_score,authority_acceleration,grade
Dog Supplies,53,61,8,81.3,60,38,90,19.8,100,0,100,0,83,83.0,A
Uncategorized,1,6,5,100,30,30,60,0,100,0,100,0,69,72.0,B
Cat Supplies,31,32,1,64.0,90,51,90,36.9,100,5,100,4,82,69.1,A
Dog Care,11,12,1,60.0,60,44,90,26.1,100,0,100,0,75,63.2,A
Dog Toys,8,14,6,56.0,30,16,30,0,100,65,100,52,75,58.8,A
Dog Beds,8,9,1,60.0,60,38,60,15.9,100,5,100,4,75,58.8,A
Dog Harnesses,6,7,1,58.3,90,76,30,3.0,100,5,100,4,72,58.2,B
Buying Guides,3,3,0,25.0,90,40,90,3.6,100,0,100,0,82,57.4,A
Dog Health,5,5,0,41.7,90,50,60,16.8,100,0,100,0,73,56.6,B
Pet Care,28,29,1,72.5,30,0,30,0,100,0,100,0,80,53.1,A
Cat Toys,15,15,0,60.0,30,17,60,0,100,35,100,28,79,52.5,A
Product Reviews,43,43,0,71.7,30,0,30,0,100,0,100,0,82,51.0,A
Puppy Care,7,8,1,53.3,30,5,30,0,100,5,100,4,75,48.1,A
Dog Food,4,4,0,26.7,30,30,60,0,100,0,100,0,77,44.0,A
Training Supplies,6,6,0,40.0,30,0,30,0,100,0,100,0,76,42.8,A
Pet Beds,4,4,0,40.0,30,0,30,0,100,0,100,0,74,42.7,B
Interactive Toys,2,2,0,25.0,30,0,30,0,100,0,100,0,82,39.4,A
Orthopaedic Care,2,2,0,25.0,30,0,30,0,100,0,100,0,76,39.0,A
Pet Health,3,3,0,25.0,30,0,30,0,100,0,100,0,75,39.0,A
Indoor Cats,1,1,0,16.7,30,0,30,0,100,0,100,0,80,37.2,A
