id,title,cluster,answer_superiority,extraction_superiority,comparison_superiority,trust_superiority,usefulness_superiority,ai_preference_score
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,96.7,90,95,100,90,94.3
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,96.7,90,95,100,90,94.3
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,96.7,90,95,100,90,94.3
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,96.7,90,95,100,90,94.3
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,96.7,90,95,100,90,94.3
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,96.7,90,95,100,90,94.3
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,96.7,90,95,100,90,94.3
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,96.7,90,95,100,90,94.3
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,96.7,90,95,100,90,94.3
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,96.7,90,95,100,90,94.3
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,96.7,90,95,100,90,94.3
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,96.7,90,95,100,90,94.3
4791,How to Choose the Right Dog Training Treats,Training Supplies,96.7,90,95,100,90,94.3
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,96.7,90,95,100,90,94.3
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,96.7,90,95,100,90,94.3
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,96.7,90,95,100,90,94.3
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,96.7,90,95,100,90,94.3
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,96.7,90,95,100,90,94.3
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,96.7,90,95,100,90,94.3
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,96.7,90,95,100,90,94.3
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,96.7,90,95,100,90,94.3
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,96.7,90,95,100,90,94.3
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,96.7,90,95,100,90,94.3
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,96.7,90,95,100,90,94.3
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,96.7,90,95,100,90,94.3
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,96.7,90,95,100,90,94.3
