id,title,cluster,practical_score,has_troubleshooting
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,40,yes
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,40,yes
8172,Our Research Standards,Uncategorized,40,yes
8171,Why PetHub Online Exists,Uncategorized,40,yes
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,50,yes
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,50,yes
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,50,yes
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,50,yes
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,50,yes
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,50,yes
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,50,yes
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,50,yes
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,50,yes
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,50,yes
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,50,yes
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,50,yes
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,50,yes
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,50,yes
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,50,yes
