id,title,cluster,glossary_moat,trust_moat,comparison_moat,practical_moat,educational_moat,citation_moat,structural_moat,moat_score
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,70,100,95,90,60,80,90,83.6
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,70,100,95,90,60,80,90,83.6
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,70,100,95,90,60,80,90,83.6
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,70,100,95,90,60,80,90,83.6
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,80,100,95,90,40,80,90,82.1
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,80,100,95,90,60,80,90,85
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,80,100,95,90,60,80,90,85
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,80,100,95,90,60,80,90,85
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,80,100,95,90,60,70,90,83.6
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,80,100,95,90,60,70,90,83.6
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,80,100,95,90,60,70,90,83.6
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,80,100,95,90,60,70,90,83.6
4791,How to Choose the Right Dog Training Treats,Training Supplies,80,100,95,90,75,80,90,87.1
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,80,100,95,90,60,80,90,85
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,80,100,95,90,40,80,90,82.1
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,80,100,95,90,60,80,90,85
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,80,100,95,90,90,90,90,90.7
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,80,100,95,90,60,70,90,83.6
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,80,100,95,90,60,70,90,83.6
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,80,100,95,90,75,80,90,87.1
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,80,100,95,90,75,80,90,87.1
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,80,100,95,90,75,80,90,87.1
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,80,100,95,90,75,80,90,87.1
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,80,100,95,90,75,70,90,85.7
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,80,100,95,90,75,80,90,87.1
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,80,100,95,90,75,70,90,85.7
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,80,100,95,90,75,80,90,87.1
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,80,100,95,90,75,70,90,85.7
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,80,100,95,90,75,70,90,85.7
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,80,100,95,90,60,70,90,83.6
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,80,100,95,90,75,70,90,85.7
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,80,100,95,90,90,80,90,89.3
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,80,100,90,90,40,80,90,81.4
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,70,100,85,90,60,70,90,80.7
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,70,100,85,90,60,70,90,80.7
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,70,100,85,90,40,80,90,79.3
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,70,100,95,80,60,80,90,82.1
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,80,100,85,90,60,80,90,83.6
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,80,100,85,90,60,80,90,83.6
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,90,100,85,90,60,80,90,85
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,80,100,85,90,40,80,90,80.7
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,100,100,85,90,60,80,90,86.4
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,100,100,85,90,60,80,90,86.4
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,80,100,95,90,60,70,90,83.6
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,80,100,95,90,60,70,90,83.6
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,80,100,85,90,40,80,90,80.7
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,80,100,85,90,60,90,90,85
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,80,100,85,90,60,90,90,85
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,80,100,85,90,60,80,90,83.6
