id,title,cluster,glossary_moat,trust_moat,comparison_moat,practical_moat,educational_moat,citation_moat,structural_moat,moat_score
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,80,100,85,90,90,80,90,87.9
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,80,100,75,90,90,90,90,87.9
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,80,100,75,90,90,80,90,86.4
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,80,85,85,90,90,80,90,85.7
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,80,100,95,90,60,80,90,85
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,80,100,70,90,75,90,90,85
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,80,100,55,90,90,90,90,85
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,80,100,85,90,75,70,90,84.3
4791,How to Choose the Right Dog Training Treats,Training Supplies,80,100,75,90,75,80,90,84.3
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,80,100,75,90,75,80,90,84.3
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,80,100,75,90,75,80,90,84.3
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,80,100,75,90,75,80,90,84.3
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,80,100,75,90,75,80,90,84.3
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,80,100,75,90,75,80,90,84.3
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,80,100,75,90,75,80,90,84.3
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,80,100,75,90,75,80,90,84.3
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,80,100,85,90,75,70,90,84.3
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,80,100,90,90,60,80,90,84.3
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,80,85,75,90,90,80,90,84.3
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,80,85,75,90,90,80,90,84.3
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,80,100,95,90,60,70,90,83.6
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,80,100,85,90,60,80,90,83.6
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,80,100,95,90,60,70,90,83.6
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,80,100,95,90,60,70,90,83.6
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,80,100,95,90,60,70,90,83.6
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,80,100,80,90,75,70,90,83.6
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,80,100,95,90,60,70,90,83.6
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,80,100,95,90,60,70,90,83.6
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,80,100,75,90,60,90,90,83.6
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,90,100,75,90,60,80,90,83.6
