WP_ID,Title,Type,Total_Headings,H1_Count,Duplicate_H1,Skipped_Levels,Skip_Details,Heading_Flow,Status,Checked_At
3892,Best Dog Food &amp; Puppy Food UK,page,46,1,NO,NO,,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3,PASS,2026-05-28 15:38
3115,Cat Litter Trays,page,49,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
3113,Cat Scratching Posts,page,48,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
3111,Cat Collars,page,47,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
3109,Cat Grooming,page,47,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
3107,Cat Beds,page,51,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
2561,Cookie Policy,page,17,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2,PASS,2026-05-28 15:38
1960,Dog Health &#038; Care,page,57,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
1956,Dog Training &#038; Behaviour,page,57,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
1951,Dog Bowls &#038; Feeding,page,48,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
1176,Cat Supplies,page,36,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
1149,Cat Toys,page,52,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
1146,Dog Collars &amp; Leashes,page,53,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
1144,Dog Grooming,page,54,1,NO,YES,h1->h3,h1 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h2,NEEDS_REVIEW,2026-05-28 15:38
1141,Dog Beds,page,52,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
1041,Dog Toys,page,53,1,NO,NO,,h1 > h2 > h3 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
300,Affiliate Disclosure,page,14,1,NO,NO,,h1 > h2 > h2 > h3 > h3 > h2 > h2 > h2 > h2 > h2,PASS,2026-05-28 15:38
297,Terms and Conditions,page,21,1,NO,NO,,h1 > h2 > h2 > h2 > h3 > h3 > h2 > h3 > h3 > h3,PASS,2026-05-28 15:38
293,Privacy Policy,page,18,1,NO,NO,,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h2 > h2,PASS,2026-05-28 15:38
63,Dog Supplies,page,36,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h3,PASS,2026-05-28 15:38
39,About Us,page,20,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h2,PASS,2026-05-28 15:38
38,Blog,page,20,1,NO,YES,h2->h4,h1 > h2 > h2 > h3 > h2 > h3 > h3 > h3 > h3 > h2,NEEDS_REVIEW,2026-05-28 15:38
37,Contact Pet Hub Online,page,17,1,NO,YES,h2->h4,h1 > h2 > h2 > h3 > h3 > h2 > h4 > h2 > h2 > h2,NEEDS_REVIEW,2026-05-28 15:38
4,Pet Hub Online – Pet Supplies Online,page,28,1,NO,NO,,h1 > h2 > h2 > h2 > h3 > h3 > h2 > h2 > h3 > h3,PASS,2026-05-28 15:38
4792,Puppy Socialisation: A Complete Timeline Guide,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4791,How to Choose the Right Dog Training Treats,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4790,DIY Dog Toys: Safe Homemade Options,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4789,Best Types of Dog Toys for Different Play Styles,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4788,Mental Stimulation for Dogs: Beyond Physical Exerc,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4787,Dog Toy Safety: What Every Owner Needs to Know,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4786,Where to Place Your Dog&#8217;s Bed: Location and ,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
4785,How to Wash and Maintain Your Dog&#8217;s Bed,post,25,1,NO,NO,,h1 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h2 > h3,PASS,2026-05-28 15:38
