WP_ID,Title,Type,URL,HTTP_Status,TTFB,CDN_Cached,Cache_Header,Checked_At
3892,Best Dog Food &amp; Puppy Food UK,page,https://pethubonline.com/best-dog-food/,200,0.036s,YES,27.hhn _atomic_ams HIT,2026-05-28 15:34
3115,Cat Litter Trays,page,https://pethubonline.com/cat-litter-trays/,200,0.037s,YES,24.hhn _atomic_ams HIT,2026-05-28 15:34
3113,Cat Scratching Posts,page,https://pethubonline.com/cat-scratching-posts/,200,0.036s,YES,31.hhn _atomic_ams HIT,2026-05-28 15:34
3111,Cat Collars,page,https://pethubonline.com/cat-collars/,200,0.036s,YES,24.hhn _atomic_ams HIT,2026-05-28 15:34
3109,Cat Grooming,page,https://pethubonline.com/cat-grooming/,200,0.036s,YES,16.hhn _atomic_ams HIT,2026-05-28 15:34
3107,Cat Beds,page,https://pethubonline.com/cat-beds/,200,0.036s,YES,29.hhn _atomic_ams HIT,2026-05-28 15:34
2561,Cookie Policy,page,https://pethubonline.com/cookie-policy/,200,0.037s,YES,18.hhn _atomic_ams HIT,2026-05-28 15:34
1960,Dog Health &#038; Care,page,https://pethubonline.com/dog-health-care/,200,0.037s,YES,23.hhn _atomic_ams HIT,2026-05-28 15:34
1956,Dog Training &#038; Behaviour,page,https://pethubonline.com/dog-training-behaviour/,200,0.038s,YES,35.hhn _atomic_ams HIT,2026-05-28 15:34
1951,Dog Bowls &#038; Feeding,page,https://pethubonline.com/dog-bowls-feeding/,200,0.038s,YES,24.hhn _atomic_ams HIT,2026-05-28 15:34
1176,Cat Supplies,page,https://pethubonline.com/cat-supplies/,200,0.037s,YES,17.hhn _atomic_ams HIT,2026-05-28 15:34
1149,Cat Toys,page,https://pethubonline.com/cat-toys/,200,0.037s,YES,20.hhn _atomic_ams HIT,2026-05-28 15:34
1146,Dog Collars &amp; Leashes,page,https://pethubonline.com/dog-collars-leashes/,200,0.037s,YES,29.hhn _atomic_ams HIT,2026-05-28 15:34
1144,Dog Grooming,page,https://pethubonline.com/dog-grooming/,200,0.036s,YES,35.hhn _atomic_ams HIT,2026-05-28 15:34
1141,Dog Beds,page,https://pethubonline.com/dog-beds/,200,0.038s,YES,24.hhn _atomic_ams HIT,2026-05-28 15:34
1041,Dog Toys,page,https://pethubonline.com/dog-toys/,200,0.037s,YES,29.hhn _atomic_ams HIT,2026-05-28 15:34
300,Affiliate Disclosure,page,https://pethubonline.com/affiliate-disclosure/,200,0.036s,YES,24.hhn _atomic_ams HIT,2026-05-28 15:34
297,Terms and Conditions,page,https://pethubonline.com/terms-and-conditions/,200,0.037s,YES,31.hhn _atomic_ams HIT,2026-05-28 15:34
293,Privacy Policy,page,https://pethubonline.com/privacy-policy/,200,0.036s,YES,35.hhn _atomic_ams HIT,2026-05-28 15:34
63,Dog Supplies,page,https://pethubonline.com/dog-supplies/,200,0.037s,YES,21.hhn _atomic_ams HIT,2026-05-28 15:34
39,About Us,page,https://pethubonline.com/about-us/,200,0.038s,YES,30.hhn _atomic_ams HIT,2026-05-28 15:34
38,Blog,page,https://pethubonline.com/blog/,200,0.037s,YES,35.hhn _atomic_ams HIT,2026-05-28 15:34
37,Contact Pet Hub Online,page,https://pethubonline.com/contact-pet-hub-online/,200,0.036s,YES,16.hhn _atomic_ams HIT,2026-05-28 15:34
4,Pet Hub Online – Pet Supplies Online,page,https://pethubonline.com/,200,0.039s,YES,31.hhn _atomic_ams HIT,2026-05-28 15:34
4792,Puppy Socialisation: A Complete Timeline Guide,post,https://pethubonline.com/puppy-socialisation-guide/,200,0.036s,YES,16.hhn _atomic_ams HIT,2026-05-28 15:34
4791,How to Choose the Right Dog Training Treats,post,https://pethubonline.com/how-to-choose-dog-training-treats/,200,0.038s,YES,36.hhn _atomic_ams HIT,2026-05-28 15:34
4790,DIY Dog Toys: Safe Homemade Options,post,https://pethubonline.com/diy-dog-toys-homemade/,200,0.036s,YES,19.hhn _atomic_ams HIT,2026-05-28 15:34
4789,Best Types of Dog Toys for Different Play Styles,post,https://pethubonline.com/dog-toys-for-different-play-styles/,200,0.038s,YES,18.hhn _atomic_ams HIT,2026-05-28 15:34
4788,Mental Stimulation for Dogs: Beyond Physical Exerc,post,https://pethubonline.com/mental-stimulation-for-dogs/,200,0.037s,YES,22.hhn _atomic_ams HIT,2026-05-28 15:34
4787,Dog Toy Safety: What Every Owner Needs to Know,post,https://pethubonline.com/dog-toy-safety-guide/,200,0.036s,YES,21.hhn _atomic_ams HIT,2026-05-28 15:34
4786,Where to Place Your Dog&#8217;s Bed: Location and ,post,https://pethubonline.com/where-to-place-dog-bed/,200,0.038s,YES,28.hhn _atomic_ams HIT,2026-05-28 15:34
4785,How to Wash and Maintain Your Dog&#8217;s Bed,post,https://pethubonline.com/how-to-wash-dog-bed/,200,0.036s,YES,19.hhn _atomic_ams HIT,2026-05-28 15:34
4784,"Dog Bed Materials Explained: Foam, Memory Foam, an",post,https://pethubonline.com/dog-bed-materials-guide/,200,0.037s,YES,33.hhn _atomic_ams HIT,2026-05-28 15:34
4783,How to Choose the Right Dog Bed Size,post,https://pethubonline.com/how-to-choose-dog-bed-size/,200,0.038s,YES,36.hhn _atomic_ams HIT,2026-05-28 15:34
4573,Seasonal Pet Safety: Protecting Pets Through the Y,post,https://pethubonline.com/seasonal-pet-safety-guide/,200,0.038s,YES,23.hhn _atomic_ams HIT,2026-05-28 15:34
4570,First-Time Dog Owner Essentials: What You Need to ,post,https://pethubonline.com/first-time-dog-owner-essentials/,200,0.036s,YES,35.hhn _atomic_ams HIT,2026-05-28 15:34
