WP_ID,Title,Type,URL,FAQ_Count,Schema_Count,Has_FAQ_Schema,Entity_Signals,Has_Table,Definition_Signals,Has_Summary,AI_Readiness_Score,Checked_At
3892,Best Dog Food &amp; Puppy Food UK,page,https://pethubonline.com/best-dog-food/,2,1,NO,27,NO,0,NO,50,2026-05-28 15:34
3115,Cat Litter Trays,page,https://pethubonline.com/cat-litter-trays/,4,1,NO,68,NO,0,NO,70,2026-05-28 15:34
3113,Cat Scratching Posts,page,https://pethubonline.com/cat-scratching-posts/,3,1,NO,90,NO,1,NO,65,2026-05-28 15:34
3111,Cat Collars,page,https://pethubonline.com/cat-collars/,3,1,NO,79,NO,0,NO,60,2026-05-28 15:34
3109,Cat Grooming,page,https://pethubonline.com/cat-grooming/,3,1,NO,81,NO,1,NO,65,2026-05-28 15:34
3107,Cat Beds,page,https://pethubonline.com/cat-beds/,4,1,NO,63,NO,4,NO,85,2026-05-28 15:34
2561,Cookie Policy,page,https://pethubonline.com/cookie-policy/,0,1,NO,18,NO,0,NO,30,2026-05-28 15:34
1960,Dog Health &#038; Care,page,https://pethubonline.com/dog-health-care/,3,1,NO,44,NO,1,NO,65,2026-05-28 15:34
1956,Dog Training &#038; Behaviour,page,https://pethubonline.com/dog-training-behaviour/,3,1,NO,39,NO,1,NO,65,2026-05-28 15:34
1951,Dog Bowls &#038; Feeding,page,https://pethubonline.com/dog-bowls-feeding/,2,1,NO,65,NO,0,NO,50,2026-05-28 15:34
1176,Cat Supplies,page,https://pethubonline.com/cat-supplies/,1,1,NO,9,NO,2,NO,50,2026-05-28 15:34
1149,Cat Toys,page,https://pethubonline.com/cat-toys/,2,1,NO,34,NO,0,NO,50,2026-05-28 15:34
1146,Dog Collars &amp; Leashes,page,https://pethubonline.com/dog-collars-leashes/,4,1,NO,43,NO,0,NO,70,2026-05-28 15:34
1144,Dog Grooming,page,https://pethubonline.com/dog-grooming/,4,1,NO,35,NO,1,NO,75,2026-05-28 15:34
1141,Dog Beds,page,https://pethubonline.com/dog-beds/,4,1,NO,61,NO,1,NO,75,2026-05-28 15:34
1041,Dog Toys,page,https://pethubonline.com/dog-toys/,3,1,NO,61,NO,1,NO,65,2026-05-28 15:34
300,Affiliate Disclosure,page,https://pethubonline.com/affiliate-disclosure/,0,1,NO,19,NO,1,NO,35,2026-05-28 15:34
297,Terms and Conditions,page,https://pethubonline.com/terms-and-conditions/,0,1,NO,23,NO,0,NO,30,2026-05-28 15:34
293,Privacy Policy,page,https://pethubonline.com/privacy-policy/,0,1,NO,20,NO,0,NO,30,2026-05-28 15:34
63,Dog Supplies,page,https://pethubonline.com/dog-supplies/,1,1,NO,9,NO,0,NO,40,2026-05-28 15:34
39,About Us,page,https://pethubonline.com/about-us/,2,1,NO,8,NO,1,NO,55,2026-05-28 15:34
38,Blog,page,https://pethubonline.com/blog/,0,1,NO,4,NO,0,NO,26,2026-05-28 15:34
37,Contact Pet Hub Online,page,https://pethubonline.com/contact-pet-hub-online/,0,1,NO,5,NO,0,NO,30,2026-05-28 15:34
4,Pet Hub Online – Pet Supplies Online,page,https://pethubonline.com/,1,1,NO,3,NO,0,NO,32,2026-05-28 15:34
4792,Puppy Socialisation: A Complete Timeline Guide,post,https://pethubonline.com/puppy-socialisation-guide/,3,1,NO,4,NO,0,NO,56,2026-05-28 15:34
4791,How to Choose the Right Dog Training Treats,post,https://pethubonline.com/how-to-choose-dog-training-treats/,3,1,NO,4,NO,0,NO,56,2026-05-28 15:34
4790,DIY Dog Toys: Safe Homemade Options,post,https://pethubonline.com/diy-dog-toys-homemade/,3,1,NO,4,NO,0,NO,56,2026-05-28 15:34
4789,Best Types of Dog Toys for Different Play Styles,post,https://pethubonline.com/dog-toys-for-different-play-styles/,3,1,NO,4,NO,0,NO,56,2026-05-28 15:34
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,post,https://pethubonline.com/mental-stimulation-for-dogs/,3,1,NO,4,NO,0,NO,56,2026-05-28 15:34
4787,Dog Toy Safety: What Every Owner Needs to Know,post,https://pethubonline.com/dog-toy-safety-guide/,4,1,NO,4,NO,1,NO,71,2026-05-28 15:34
