WP_ID,Title,Type,URL,Total_Images,With_Alt,Empty_Alt,No_Alt,Coverage,Status,Missing_Alt_Sources,Checked_At
3892,Best Dog Food &amp; Puppy Food UK,page,https://pethubonline.com/best-dog-food/,28,28,0,0,100%,PASS,,2026-05-28 15:38
3115,Cat Litter Trays,page,https://pethubonline.com/cat-litter-trays/,16,16,0,0,100%,PASS,,2026-05-28 15:38
3113,Cat Scratching Posts,page,https://pethubonline.com/cat-scratching-posts/,16,16,0,0,100%,PASS,,2026-05-28 15:38
3111,Cat Collars,page,https://pethubonline.com/cat-collars/,18,18,0,0,100%,PASS,,2026-05-28 15:38
3109,Cat Grooming,page,https://pethubonline.com/cat-grooming/,16,16,0,0,100%,PASS,,2026-05-28 15:38
3107,Cat Beds,page,https://pethubonline.com/cat-beds/,30,30,0,0,100%,PASS,,2026-05-28 15:38
2561,Cookie Policy,page,https://pethubonline.com/cookie-policy/,4,4,0,0,100%,PASS,,2026-05-28 15:38
1960,Dog Health &#038; Care,page,https://pethubonline.com/dog-health-care/,30,30,0,0,100%,PASS,,2026-05-28 15:38
1956,Dog Training &#038; Behaviour,page,https://pethubonline.com/dog-training-behaviour/,30,30,0,0,100%,PASS,,2026-05-28 15:38
1951,Dog Bowls &#038; Feeding,page,https://pethubonline.com/dog-bowls-feeding/,28,28,0,0,100%,PASS,,2026-05-28 15:38
1176,Cat Supplies,page,https://pethubonline.com/cat-supplies/,8,8,0,0,100%,PASS,,2026-05-28 15:38
1149,Cat Toys,page,https://pethubonline.com/cat-toys/,30,30,0,0,100%,PASS,,2026-05-28 15:38
1146,Dog Collars &amp; Leashes,page,https://pethubonline.com/dog-collars-leashes/,30,30,0,0,100%,PASS,,2026-05-28 15:38
1144,Dog Grooming,page,https://pethubonline.com/dog-grooming/,30,30,0,0,100%,PASS,,2026-05-28 15:38
1141,Dog Beds,page,https://pethubonline.com/dog-beds/,30,30,0,0,100%,PASS,,2026-05-28 15:38
1041,Dog Toys,page,https://pethubonline.com/dog-toys/,30,30,0,0,100%,PASS,,2026-05-28 15:38
300,Affiliate Disclosure,page,https://pethubonline.com/affiliate-disclosure/,4,4,0,0,100%,PASS,,2026-05-28 15:38
297,Terms and Conditions,page,https://pethubonline.com/terms-and-conditions/,4,4,0,0,100%,PASS,,2026-05-28 15:38
293,Privacy Policy,page,https://pethubonline.com/privacy-policy/,4,4,0,0,100%,PASS,,2026-05-28 15:38
63,Dog Supplies,page,https://pethubonline.com/dog-supplies/,8,8,0,0,100%,PASS,,2026-05-28 15:38
39,About Us,page,https://pethubonline.com/about-us/,6,6,0,0,100%,PASS,,2026-05-28 15:38
38,Blog,page,https://pethubonline.com/blog/,20,18,0,2,90%,FAIL,"context.image.src|data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs=",2026-05-28 15:38
37,Contact Pet Hub Online,page,https://pethubonline.com/contact-pet-hub-online/,8,6,0,2,75%,FAIL,"context.image.src|data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs=",2026-05-28 15:38
4,Pet Hub Online – Pet Supplies Online,page,https://pethubonline.com/,42,42,0,0,100%,PASS,,2026-05-28 15:38
4792,Puppy Socialisation: A Complete Timeline Guide,post,https://pethubonline.com/puppy-socialisation-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4791,How to Choose the Right Dog Training Treats,post,https://pethubonline.com/how-to-choose-dog-training-treats/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4790,DIY Dog Toys: Safe Homemade Options,post,https://pethubonline.com/diy-dog-toys-homemade/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4789,Best Types of Dog Toys for Different Play Styles,post,https://pethubonline.com/dog-toys-for-different-play-styles/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4788,Mental Stimulation for Dogs: Beyond Physical Exerc,post,https://pethubonline.com/mental-stimulation-for-dogs/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4787,Dog Toy Safety: What Every Owner Needs to Know,post,https://pethubonline.com/dog-toy-safety-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4786,Where to Place Your Dog&#8217;s Bed: Location and ,post,https://pethubonline.com/where-to-place-dog-bed/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4785,How to Wash and Maintain Your Dog&#8217;s Bed,post,https://pethubonline.com/how-to-wash-dog-bed/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4784,"Dog Bed Materials Explained: Foam, Memory Foam, an",post,https://pethubonline.com/dog-bed-materials-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4783,How to Choose the Right Dog Bed Size,post,https://pethubonline.com/how-to-choose-dog-bed-size/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4573,Seasonal Pet Safety: Protecting Pets Through the Y,post,https://pethubonline.com/seasonal-pet-safety-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4570,First-Time Dog Owner Essentials: What You Need to ,post,https://pethubonline.com/first-time-dog-owner-essentials/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4576,Multi-Pet Household Tips: Living with Dogs and Cat,post,https://pethubonline.com/multi-pet-household-tips/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4574,Pet Hydration Guide: How Much Water Does Your Pet ,post,https://pethubonline.com/pet-hydration-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4571,Pet First Aid Basics: What Every Owner Should Know,post,https://pethubonline.com/pet-first-aid-basics/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4568,Dog Dental Health: A Practical Care Guide,post,https://pethubonline.com/dog-dental-health-care-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Roun,post,https://pethubonline.com/seasonal-dog-care-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4563,Dog Grooming Basics: A Complete Guide for Owners,post,https://pethubonline.com/dog-grooming-basics-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4415,Cat Toy Safety Guide: What Every Owner Should Know,post,https://pethubonline.com/cat-toy-safety-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4406,Best Interactive Cat Toys for Indoor Cats: Engagem,post,https://pethubonline.com/best-interactive-cat-toys-indoor-cats/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4414,Harness vs Collar: Which Is Better for Your Dog?,post,https://pethubonline.com/harness-vs-collar-which-is-better/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4413,How to Measure Your Dog for a Harness: Step-by-Ste,post,https://pethubonline.com/how-to-measure-dog-for-harness/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4412,No-Pull Dog Harness Guide: How They Work and When ,post,https://pethubonline.com/no-pull-dog-harness-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4411,"Dog Harnesses: The Complete Guide to Types, Fittin",post,https://pethubonline.com/dog-harnesses-complete-guide/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4410,Cat Enrichment Activities Beyond Toys: Complete Gu,post,https://pethubonline.com/cat-enrichment-activities-beyond-toys/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Gui,post,https://pethubonline.com/kitten-vs-adult-cat-toys-age-appropriate/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4408,How Often Should You Replace Cat Toys? A Practical,post,https://pethubonline.com/how-often-replace-cat-toys/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will ,post,https://pethubonline.com/diy-cat-toys-safe-homemade-options/,8,8,0,0,100%,PASS,,2026-05-28 15:38
4335,Best Cat Litter Disposal UK (2026) – Waste Managem,post,https://pethubonline.com/best-cat-litter-disposal-uk/,14,14,0,0,100%,PASS,,2026-05-28 15:38
4328,Best Self-Cleaning Litter Trays UK (2026) – Automa,post,https://pethubonline.com/best-self-cleaning-litter-trays-uk/,14,14,0,0,100%,PASS,,2026-05-28 15:38
4321,Best Cat Litter UK (2026) – Types &#038; Compariso,post,https://pethubonline.com/best-cat-litter-uk/,14,14,0,0,100%,PASS,,2026-05-28 15:38
