post_id,title,category,word_count,educational_coverage,faq_saturation,glossary_depth,support_content,ai_answer_coverage,trust_reinforcement,internal_link_completeness,semantic_completeness,crawl_reinforcement,indexing_readiness,overall_completeness
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Buying Guides,908,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,76.3
4125,Best Dog Training Treats UK (2026) – Reward Guide,Buying Guides,796,99.5,33.3,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,76.3
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,Buying Guides,628,78.5,33.3,0.0,0.0,80.0,100.0,100.0,100.0,40.0,80.0,61.2
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,1833,100.0,66.7,16.7,80.0,80.0,100.0,87.5,100.0,70.0,80.0,78.1
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,1022,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,968,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,Cat Supplies,812,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,732,91.5,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,74.2
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,858,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,Cat Supplies,811,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,816,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,828,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,812,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,945,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,887,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,817,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,955,100.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,Cat Supplies,796,99.5,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,794,99.2,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,787,98.4,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.2
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,784,98.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.1
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,779,97.4,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.1
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,777,97.1,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.0
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,765,95.6,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,72.9
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,Cat Supplies,760,95.0,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,72.8
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,759,94.9,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,72.8
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,758,94.8,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,72.8
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,791,98.9,33.3,0.0,100.0,80.0,75.0,100.0,100.0,70.0,50.0,70.7
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,791,98.9,50.0,0.0,50.0,80.0,100.0,100.0,100.0,40.0,80.0,69.9
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Supplies,598,74.8,33.3,0.0,100.0,80.0,100.0,62.5,100.0,40.0,80.0,67.1
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,610,76.2,33.3,0.0,100.0,80.0,0.0,100.0,100.0,70.0,80.0,64.0
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,659,82.4,33.3,0.0,100.0,80.0,0.0,87.5,100.0,70.0,80.0,63.3
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,591,73.9,33.3,0.0,100.0,80.0,0.0,75.0,100.0,70.0,80.0,61.2
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,540,67.5,33.3,0.0,100.0,80.0,0.0,62.5,100.0,70.0,80.0,59.3
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,1042,100.0,50.0,0.0,50.0,80.0,100.0,100.0,100.0,40.0,80.0,70.0
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,785,98.1,100.0,0.0,0.0,80.0,100.0,100.0,100.0,40.0,80.0,69.8
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,1227,100.0,50.0,0.0,0.0,80.0,100.0,100.0,100.0,40.0,80.0,65.0
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,481,60.1,0.0,0.0,0.0,80.0,100.0,100.0,100.0,40.0,50.0,53.0
5033,How to Choose the Right Cat Toy for Your Cat&#8217;s Personality,Cat Toys,478,59.8,0.0,0.0,0.0,80.0,100.0,100.0,100.0,40.0,50.0,53.0
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,992,100.0,83.3,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,81.3
4786,Where to Place Your Dog&#8217;s Bed: Location and Comfort Tips,Dog Beds,818,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,78.0
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,979,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,78.0
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,929,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,78.0
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Dog Beds,1248,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,78.0
4785,How to Wash and Maintain Your Dog&#8217;s Bed,Dog Beds,793,99.1,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,77.9
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,761,95.1,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,77.5
4783,How to Choose the Right Dog Bed Size,Dog Beds,662,82.8,50.0,0.0,100.0,80.0,100.0,100.0,100.0,70.0,80.0,76.3
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,1517,100.0,66.7,0.0,50.0,80.0,100.0,75.0,100.0,40.0,80.0,69.2
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,815,100.0,50.0,100.0,100.0,80.0,100.0,75.0,100.0,70.0,80.0,85.5
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,1033,100.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,75.0
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,798,99.8,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,73.3
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,767,95.9,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,72.9
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,739,92.4,33.3,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,72.6
4568,Dog Dental Health: A Practical Care Guide,Dog Care,648,81.0,50.0,100.0,100.0,80.0,0.0,37.5,100.0,70.0,80.0,69.8
