post_id,title,table_title,rows,columns,status
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Bed Materials Compared,5,5,updated
5416,Dog Bed Types Explained: A Complete Glossary,Dog Bed Types at a Glance,6,5,updated
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Bed Size Guide by Weight,4,4,updated
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harness Types Compared,5,4,updated
4414,Harness vs Collar: Which Is Better for Your Dog?,Harness vs Collar: Key Differences,7,3,updated
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Indoor vs Outdoor Dog Toys Compared,6,3,updated
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toy Cleaning Methods by Material,5,4,updated
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Scratching Surface Types Compared,5,5,updated
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training Equipment Comparison,6,4,updated
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Seasonal Risks and Precautions for Dogs,4,4,updated
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toy Rotation Strategies Compared,4,4,updated
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Mental Stimulation Toy Types Compared,5,4,updated
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Feeding Methods Compared,5,4,updated
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Common Toy Materials: Safety Overview,6,4,updated
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harness Styles at a Glance,5,4,updated
4570,First-Time Dog Owner Essentials: What You Need to Know,First-Time Dog Owner: Essential Categories,6,4,updated
