cluster,post_count,avg_completeness,avg_educational,avg_faq,avg_glossary,avg_support,avg_ai_answer,avg_trust,avg_internal_links,avg_semantic,avg_crawl,avg_indexing,maturity_grade
Uncategorized,23,82.2,100.0,94.2,14.5,98.7,80.0,100.0,88.6,100.0,67.8,78.7,A
Dog Food,4,77.9,100.0,79.2,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,B
Dog Beds,9,77.1,97.4,55.6,0.0,94.4,80.0,100.0,97.2,100.0,66.7,80.0,B
Dog Supplies,27,76.6,95.4,58.6,0.0,100.0,80.0,97.2,97.7,100.0,60.0,76.7,B
Dog Health,4,73.8,100.0,37.5,0.0,100.0,80.0,100.0,100.0,100.0,40.0,80.0,B
Cat Supplies,31,71.7,94.6,37.1,0.5,97.7,80.0,86.3,96.0,100.0,45.8,79.0,B
Pet Care,2,71.7,85.4,41.7,0.0,100.0,80.0,100.0,75.0,100.0,55.0,80.0,B
Buying Guides,3,71.3,92.7,33.3,0.0,66.7,80.0,100.0,100.0,100.0,60.0,80.0,B
Dog Harnesses,4,70.4,92.2,50.0,16.7,87.5,80.0,75.0,75.0,100.0,47.5,80.0,B
Dog Care,12,68.6,89.3,45.8,16.7,91.7,80.0,58.3,72.9,100.0,53.3,77.5,B
Cat Toys,5,62.2,83.6,40.0,0.0,10.0,80.0,100.0,100.0,100.0,40.0,68.0,C
