post_id,title,category,word_count,direct_answer,uniqueness,specificity,educational_usefulness,trust,comparison,glossary_support,answer_confidence,overall_citation,citation_ready
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,4072,100,100,75,100,100,100,30,100,88.1,YES
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,1953,100,100,60,100,100,100,10,90,82.5,YES
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,2751,100,100,60,100,100,100,0,95,81.9,YES
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,2699,40,100,60,100,100,40,100,60,75.0,YES
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,2781,40,76,60,100,100,40,90,75,72.6,NO
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,1644,40,100,60,100,100,100,0,75,71.9,NO
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,2883,40,96,60,100,100,40,30,100,70.8,NO
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,631,40,64,60,100,100,40,100,60,70.5,NO
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,2684,40,100,60,100,100,40,40,75,69.4,NO
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,3313,40,100,75,100,100,40,30,60,68.1,NO
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,2643,40,100,60,100,100,40,30,75,68.1,NO
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,2011,40,0,60,100,100,40,100,90,66.2,NO
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,853,40,100,60,100,100,40,30,60,66.2,NO
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,2601,40,16,60,100,100,40,100,60,64.5,NO
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,843,40,100,60,100,100,40,0,75,64.4,NO
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Dog Supplies,1477,40,100,60,100,100,40,0,75,64.4,NO
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,812,40,96,60,100,100,40,0,75,63.9,NO
4783,How to Choose the Right Dog Bed Size,Dog Beds,662,40,80,60,100,100,40,30,60,63.8,NO
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,815,40,8,60,100,100,40,100,60,63.5,NO
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Dog Supplies,769,40,92,60,100,100,40,0,75,63.4,NO
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,2498,40,60,60,100,100,40,30,75,63.1,NO
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,2284,40,0,75,100,100,40,90,60,63.1,NO
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,1615,40,100,20,100,100,40,30,75,63.1,NO
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,2389,40,0,60,100,100,40,100,60,62.5,NO
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,1384,40,100,60,100,100,40,0,60,62.5,NO
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,817,40,100,60,100,100,40,0,60,62.5,NO
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,883,40,100,60,100,100,40,0,60,62.5,NO
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,992,40,100,60,100,100,40,0,60,62.5,NO
4568,Dog Dental Health: A Practical Care Guide,Dog Care,688,40,16,60,100,100,20,100,60,62.0,NO
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Buying Guides,908,40,80,60,100,100,40,0,75,61.9,NO
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,2160,40,32,75,100,100,40,30,75,61.5,NO
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,2692,40,44,60,100,100,40,30,75,61.1,NO
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,580,40,56,50,100,100,20,60,60,60.8,NO
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,1033,40,84,60,100,100,40,0,60,60.5,NO
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,1405,40,52,75,100,100,40,0,75,60.2,NO
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,665,40,100,60,100,100,20,0,60,60.0,NO
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,878,40,0,60,100,100,40,80,60,60.0,NO
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,Cat Supplies,811,40,80,60,100,100,40,0,60,60.0,NO
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,808,40,80,60,100,100,40,0,60,60.0,NO
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,1833,40,44,40,100,100,40,40,75,59.9,NO
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,650,40,28,60,100,100,40,50,60,59.8,NO
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,955,40,76,60,100,100,40,0,60,59.5,NO
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,979,40,60,60,100,100,40,0,75,59.4,NO
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,2349,40,16,60,100,100,40,40,75,58.9,NO
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,1022,40,56,75,100,100,40,0,60,58.9,NO
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,887,40,56,60,100,100,40,0,75,58.9,NO
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,669,40,0,50,100,100,40,80,60,58.8,NO
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,829,40,92,35,100,100,40,0,60,58.4,NO
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Uncategorized,2214,40,36,60,100,100,40,30,60,58.2,NO
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,913,40,64,60,100,100,40,0,60,58.0,NO
