post_id,title,trust_links_before,trust_links_after,action,status
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",4,4,skipped,already_compliant
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",4,4,skipped,already_compliant
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,4,4,skipped,already_compliant
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",0,5,updated,success
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,4,4,skipped,already_compliant
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,4,4,skipped,already_compliant
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",4,4,skipped,already_compliant
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,4,4,skipped,already_compliant
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",4,4,skipped,already_compliant
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,4,4,skipped,already_compliant
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,4,4,skipped,already_compliant
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",4,4,skipped,already_compliant
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,4,4,skipped,already_compliant
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",4,4,skipped,already_compliant
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,4,4,skipped,already_compliant
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",4,4,skipped,already_compliant
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4,4,skipped,already_compliant
5462,Dog Training Terminology Explained: Key Concepts for New Owners,4,4,skipped,already_compliant
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,4,4,skipped,already_compliant
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,4,4,skipped,already_compliant
5425,Dog Toys FAQ: Common Questions Answered,4,4,skipped,already_compliant
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,4,4,skipped,already_compliant
5423,Dog Toy Enrichment: Beyond Basic Fetch,4,4,skipped,already_compliant
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,4,4,skipped,already_compliant
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,4,4,skipped,already_compliant
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,4,4,skipped,already_compliant
5419,Cat Care Basics: A Glossary for New Cat Owners,4,4,skipped,already_compliant
5418,Dog Harness Types Explained: Finding the Right Fit,4,4,skipped,already_compliant
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,4,4,skipped,already_compliant
5416,Dog Bed Types Explained: A Complete Glossary,4,4,skipped,already_compliant
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4,4,skipped,already_compliant
5414,Cat Toy Types Explained: A Complete Glossary,4,4,skipped,already_compliant
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,4,4,skipped,already_compliant
5033,How to Choose the Right Cat Toy for Your Cat's Personality,4,4,skipped,already_compliant
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,4,4,skipped,already_compliant
5032,Cat Toys FAQ: Common Questions Answered,4,4,skipped,already_compliant
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,4,4,skipped,already_compliant
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,4,4,skipped,already_compliant
4792,Puppy Socialisation: A Complete Timeline Guide,4,4,skipped,already_compliant
4791,How to Choose the Right Dog Training Treats,4,4,skipped,already_compliant
4790,DIY Dog Toys: Safe Homemade Options,4,4,skipped,already_compliant
4789,Best Types of Dog Toys for Different Play Styles,4,4,skipped,already_compliant
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,4,4,skipped,already_compliant
4787,Dog Toy Safety: What Every Owner Needs to Know,4,4,skipped,already_compliant
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,4,4,skipped,already_compliant
4785,How to Wash and Maintain Your Dog's Bed,4,4,skipped,already_compliant
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",4,4,skipped,already_compliant
4783,How to Choose the Right Dog Bed Size,4,4,skipped,already_compliant
4573,Seasonal Pet Safety: Protecting Pets Through the Year,4,4,skipped,already_compliant
4570,First-Time Dog Owner Essentials: What You Need to Know,4,4,skipped,already_compliant
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,4,4,skipped,already_compliant
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,4,4,skipped,already_compliant
4571,Pet First Aid Basics: What Every Owner Should Know,4,4,skipped,already_compliant
4568,Dog Dental Health: A Practical Care Guide,0,5,updated,success
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,4,4,skipped,already_compliant
4563,Dog Grooming Basics: A Complete Guide for Owners,0,5,updated,success
4415,Cat Toy Safety Guide: What Every Owner Should Know,0,5,updated,success
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,4,4,skipped,already_compliant
