post_id,title,cluster,action_1,estimated_gain_1,action_2,estimated_gain_2,action_3,estimated_gain_3,total_estimated_gain,priority
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,[Source Quality] Add 3+ RSPCA/BVA/PDSA citations with links (current: 5/100),15.0,[Glossary Richness] Add 'Key Terms' section with 8+ bold-dash definitions (current: 45/100),8.4,[Practical Specificity] Add UK-specific measurements (cm/kg/ml) throughout (current: 43/100),5.9,29.3,P1-Sprint
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 16/100),15.0,[Glossary Richness] Add 'Key Terms' section with 8+ bold-dash definitions (current: 15/100),12.0,[Extractability] Add Yoast FAQ block with 5+ Q&A pairs (current: 47/100),11.9,38.9,P2-Accelerate
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 16/100),15.0,[Answer Usefulness] Rewrite 5+ headings as question format (How/What/Why/When) (current: 25/100),10.0,[Extractability] Add Yoast FAQ block with 5+ Q&A pairs (current: 45/100),12.6,37.6,P2-Accelerate
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 16/100),15.0,[Practical Specificity] Add UK-specific measurements (cm/kg/ml) throughout (current: 28/100),8.0,[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (current: 35/100),12.6,35.6,P2-Accelerate
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 34/100),13.8,[Extractability] Add Yoast FAQ block with 5+ Q&A pairs (current: 50/100),10.8,[Glossary Richness] Add 'Key Terms' section with 8+ bold-dash definitions (current: 35/100),10.8,35.4,P2-Accelerate
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Unclassified,[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (current: 20/100),14.0,[Glossary Richness] Add 'Key Terms' section with 8+ bold-dash definitions (current: 25/100),12.0,[Practical Specificity] Add UK-specific measurements (cm/kg/ml) throughout (current: 20/100),8.0,34.0,P2-Accelerate
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (current: 5/100),14.0,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 41/100),11.7,[Practical Specificity] Add UK-specific measurements (cm/kg/ml) throughout (current: 28/100),8.0,33.7,P2-Accelerate
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Care General,[Practical Specificity] Add UK-specific measurements (cm/kg/ml) throughout (current: 10/100),8.0,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 42/100),11.4,[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (current: 20/100),14.0,33.4,P2-Accelerate
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (current: 10/100),14.0,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 44/100),10.8,[Practical Specificity] Add UK-specific measurements (cm/kg/ml) throughout (current: 20/100),8.0,32.8,P2-Accelerate
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,[Source Quality] Add 3+ RSPCA/BVA/PDSA citations with links (current: 5/100),15.0,[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (current: 42/100),11.4,[Practical Specificity] Add UK-specific measurements (cm/kg/ml) throughout (current: 40/100),6.4,32.8,P2-Accelerate
