cluster,post_count,glossary_density,comparison_density,trust_density,faq_density,practical_usefulness,educational_breadth,semantic_overlap,ai_answer_coverage,citation_confidence,authority_balance,crawl_reinforcement,reference_support,overall_completeness,completeness_tier
Dog Food,4,40.0,56.2,58.5,70.2,61.5,93.2,56.2,44.0,30.0,50.0,65.0,29.0,54.5,B - Strong
Educational,8,30.0,14.4,27.0,66.8,47.1,81.4,63.8,40.0,17.4,73.8,50.0,54.5,47.2,C - Developing
Dog Toys,34,35.6,14.7,18.9,62.0,43.1,72.0,49.4,39.0,19.5,75.3,52.5,55.5,44.8,C - Developing
Puppy Care,6,40.0,8.3,26.0,53.3,42.2,76.3,64.2,44.0,23.8,56.7,53.3,20.5,42.4,C - Developing
Dog Beds,7,34.3,21.4,21.4,52.1,55.3,75.4,64.3,45.1,13.4,52.9,55.7,10.3,41.8,C - Developing
Pet Care General,6,42.5,16.7,31.0,53.3,49.2,70.8,67.5,42.3,9.7,51.7,43.3,14.0,41.0,C - Developing
Dog Care,18,36.7,14.7,25.7,49.9,39.2,71.9,52.5,40.9,16.3,61.1,49.2,28.4,40.5,C - Developing
Dog Harnesses,9,40.0,20.6,22.7,44.4,53.8,70.3,70.6,37.3,5.4,50.0,49.4,1.3,38.8,C - Developing
Dog Health,5,38.0,8.0,31.2,42.6,43.4,77.4,47.0,38.4,14.6,56.0,54.0,13.6,38.7,C - Developing
Dog Supplies,7,40.0,10.0,24.9,41.4,48.6,73.1,62.9,41.4,3.4,50.0,60.0,2.9,38.2,C - Developing
Cat Supplies,24,37.9,14.2,21.5,42.9,44.0,73.0,64.2,36.9,8.1,52.5,54.2,4.5,37.8,C - Developing
Uncategorized,2,40.0,5.0,27.0,53.5,44.5,73.0,55.0,38.0,7.5,50.0,52.5,0.0,37.2,C - Developing
Cat Toys,14,40.0,15.7,17.6,45.9,44.1,68.8,61.4,29.6,12.1,50.0,50.4,0.0,36.3,C - Developing
