cluster,post_count,avg_word_count,avg_trust_intensity,avg_glossary_density,avg_faq_coverage,avg_comparison_density,avg_practical_usefulness,avg_educational_depth,avg_external_references,avg_internal_link_density,avg_answer_readiness,avg_citation_confidence,avg_semantic_depth,avg_beginner_accessibility,avg_safety_coverage,avg_decision_support,avg_authority_balance,overall_authority,authority_tier,strongest_dimension,weakest_dimension,top_priority_action
Dog Food,8,2114.6,37.38,47.0,40.88,35.38,38.0,76.38,15.88,94.88,57.0,42.62,48.75,25.75,15.12,13.12,54.25,42.91,B,Internal Link Density,Decision Support,Add buying guides with evaluation criteria and size/breed matching to Dog Food posts
Birds,1,998.0,38.0,32.0,24.0,0.0,41.0,67.0,16.0,98.0,63.0,27.0,37.0,30.0,29.0,31.0,55.0,36.56,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Birds posts
Dog Breeds,11,1840.5,24.09,36.91,36.82,7.55,34.27,70.36,32.91,86.27,52.64,32.27,40.36,28.55,13.91,4.45,49.09,36.28,C,Internal Link Density,Decision Support,Add buying guides with evaluation criteria and size/breed matching to Dog Breeds posts
Dog Health,22,1525.3,30.77,35.05,31.18,6.32,35.0,71.55,17.09,92.55,61.82,27.27,37.82,26.5,27.14,12.55,47.55,35.85,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Dog Health posts
Dog Accessories,11,1202.7,40.64,30.27,30.36,5.45,34.73,71.36,11.0,96.36,63.0,24.09,28.64,26.36,6.91,22.27,44.18,35.58,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Dog Accessories posts
Dog Beds,8,1535.9,30.88,23.0,33.38,13.5,35.5,71.75,20.0,93.88,55.38,25.12,32.12,27.0,4.88,31.25,46.0,35.44,C,Internal Link Density,Safety Coverage,Add safety warnings and 'when to see a vet' sections to Dog Beds posts
Dog Toys,30,1434.9,21.03,36.7,38.33,8.23,35.77,68.6,30.9,93.67,46.73,22.67,33.33,28.83,16.5,8.43,46.5,34.78,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Dog Toys posts
Dog Training,8,1452.9,32.12,35.62,31.5,4.62,36.88,73.38,12.88,98.25,55.62,16.75,36.5,35.25,5.25,23.25,44.12,34.6,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Dog Training posts
Cat Accessories,14,1091.2,35.57,29.0,25.43,3.14,29.64,71.36,15.86,96.14,61.0,27.5,28.86,28.5,10.14,25.79,45.93,34.54,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Cat Accessories posts
General Pet Care,4,1362.5,21.0,46.5,40.25,9.75,27.25,66.75,33.75,91.5,39.5,22.5,39.75,32.75,1.5,5.25,43.75,34.27,C,Internal Link Density,Safety Coverage,Add safety warnings and 'when to see a vet' sections to General Pet Care posts
Cat Toys,21,1234.0,31.76,36.38,27.86,7.38,31.14,68.33,13.29,97.9,56.52,22.24,33.67,27.19,7.76,10.38,41.81,33.7,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Cat Toys posts
Dog Grooming,5,1061.2,40.0,26.0,25.0,1.6,27.6,69.8,3.2,97.0,63.0,14.6,22.4,29.2,15.4,26.4,40.6,32.01,C,Internal Link Density,Comparison Density,Add comparison tables with ratings and pro/con sections to Dog Grooming posts
Pet Adoption,1,1049.0,17.0,26.0,39.0,16.0,23.0,60.0,41.0,78.0,42.0,17.0,32.0,35.0,6.0,0.0,47.0,31.59,C,Internal Link Density,Decision Support,Add buying guides with evaluation criteria and size/breed matching to Pet Adoption posts
