post_id,title,cluster,references_added,sources_inserted,status,timestamp
5425,Dog Toys FAQ: Common Questions Answered,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:31:35.503622
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:31:40.438256
5423,Dog Toy Enrichment: Beyond Basic Fetch,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:31:44.898694
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:31:49.172511
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:31:53.412815
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:31:58.262349
5419,Cat Care Basics: A Glossary for New Cat Owners,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:02.764953
5418,Dog Harness Types Explained: Finding the Right Fit,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:32:08.150243
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:32:13.651035
5416,Dog Bed Types Explained: A Complete Glossary,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:32:17.908015
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,training,3,"RSPCA, Kennel Club, Battersea",inserted,2026-05-28T22:32:22.294614
5414,Cat Toy Types Explained: A Complete Glossary,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:26.956980
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:31.569189
5033,How to Choose the Right Cat Toy for Your Cat's Personality,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:35.319417
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:40.585722
5032,Cat Toys FAQ: Common Questions Answered,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:45.325705
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:49.862303
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,cat_food,3,"Cats Protection, FEDIAF, PFMA",inserted,2026-05-28T22:32:53.558251
4791,How to Choose the Right Dog Training Treats,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:32:57.208513
4790,DIY Dog Toys: Safe Homemade Options,dog_food,3,"FEDIAF, PFMA, RSPCA",inserted,2026-05-28T22:33:00.902858
4789,Best Types of Dog Toys for Different Play Styles,dog_dental,3,"RSPCA, BVA, PDSA",inserted,2026-05-28T22:33:04.692846
