post_id,title,cluster,glossary_density,comparison_density,trust_density,faq_density,practical_usefulness,educational_breadth,semantic_overlap,ai_answer_coverage,citation_confidence,authority_balance,crawl_reinforcement,reference_support,overall_completeness,completeness_tier
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies,15,5,36,74,43,83,100,40,38,80,50,24,49.0,C - Developing
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,15,50,18,80,48,83,45,40,25,80,50,24,46.5,C - Developing
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Supplies,40,40,18,69,55,77,90,34,28,50,50,0,45.9,C - Developing
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,40,0,30,54,50,83,100,40,12,40,45,20,42.8,C - Developing
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,40,45,24,35,40,70,85,26,9,50,50,0,39.5,C - Developing
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,40,10,24,42,51,76,80,36,3,50,55,0,38.9,C - Developing
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,40,10,18,43,43,69,85,44,3,50,55,0,38.3,C - Developing
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,40,0,36,32,31,65,100,26,5,60,65,0,38.3,C - Developing
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,40,10,24,42,33,76,50,36,0,50,55,40,38.0,C - Developing
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,40,10,18,43,46,76,65,44,6,50,55,0,37.8,C - Developing
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,40,10,18,55,49,69,50,36,20,50,55,0,37.7,C - Developing
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,40,25,18,32,46,76,70,36,3,50,55,0,37.6,C - Developing
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,40,10,24,43,47,69,55,44,3,50,55,0,36.7,C - Developing
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,40,15,24,42,36,69,60,36,9,50,55,0,36.3,C - Developing
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,40,10,18,46,40,76,40,44,6,50,55,0,35.4,C - Developing
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,40,10,18,32,46,76,60,36,0,50,55,0,35.2,C - Developing
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,40,10,18,32,52,69,60,36,0,50,55,0,35.2,C - Developing
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,40,10,18,32,51,69,50,36,9,50,55,0,35.0,C - Developing
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,40,10,18,32,48,76,45,36,6,50,55,0,34.7,D - Emerging
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,40,10,24,42,30,69,55,36,3,50,55,0,34.5,D - Emerging
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,40,10,18,32,38,69,65,36,0,50,55,0,34.4,D - Emerging
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,40,10,18,32,56,69,40,36,0,50,55,0,33.8,D - Emerging
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,40,10,18,32,43,69,45,36,0,50,55,0,33.2,D - Emerging
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,40,10,18,32,33,69,45,36,6,50,55,0,32.8,D - Emerging
