cluster,current_avg,target_avg,post_count,posts_closest_to_70,weakest_dimension,top_action,estimated_cluster_gain,priority
Dog Food,53.8,70.0,4,Best Dog Food UK (2026) – Complete Buying Guide (57); Best Puppy Food UK (2026) – Growth-Stage Nutrition... (54); Best Dry Dog Food UK (2026) – Evidence-Based Guide (54),Source Quality (avg 6.2),[Source Quality] Add 3+ RSPCA/BVA/PDSA citations with links (cluster avg: 6.2/100),10.4,P1-Sprint-to-70
Dog Beds,42.3,70.0,7,"Dog Bed Types Explained: A Complete Glossary (45); Dog Bed Materials Explained: Foam, Memory Foam, an... (43); How to Choose the Right Dog Bed Size (43)",Source Quality (avg 16.6),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 23.3/100),8.5,P2-Accelerate
Educational,41.4,70.0,5,"Dog Training Equipment Explained: Tools, Uses, and... (48); Dog Behaviour Explained: Understanding Your Dog’s ... (44); Dog Training Terminology Explained: Key Concepts f... (42)",Comparison Usefulness (avg 15.4),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 28.6/100),10.6,P2-Accelerate
Pet Care General,39.2,70.0,9,"Pet Health Terminology: A Guide to Common Veterina... (50); Pet Toy Safety: Understanding Materials, Hazards, ... (47); Pet Feeding Guide: Understanding Portions, Schedul... (46)",Practical Specificity (avg 11.8),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 25.6/100),6.3,P3-Build
Puppy Care,38.8,70.0,6,Puppy Development Stages: A Complete Guide from Bi... (43); Best Puppy Toys UK (2026) – Teething & First Toys ... (42); Best Puppy Beds UK (2026) – First Bed & Crate Trai... (39),Comparison Usefulness (avg 0.8),[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (cluster avg: 0.8/100),9.2,P3-Build
Dog Health,38.6,70.0,5,"Dog Health Basics: Common Conditions, Prevention, ... (46); Best Dog Flea Treatment UK (2026) – Prevention Gui... (38); Best Dog Health and Care UK (2026) – Complete Guid... (37)",Comparison Usefulness (avg 2.0),[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (cluster avg: 2.0/100),10.9,P3-Build
Dog Supplies,38.0,70.0,6,Best Elevated Dog Bowls UK (2026) – Raised Feeder ... (43); Best Dog Bowls and Feeding UK (2026) – Complete Gu... (41); Best Slow Feeder Dog Bowls UK (2026) – Prevent Spe... (38),Comparison Usefulness (avg 0.0),[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (cluster avg: 0.0/100),9.3,P3-Build
Unclassified,37.4,70.0,14,"Orthopaedic Care for Dogs: Joint Health, Mobility,... (47); Best Dog Water Bottles UK (2026) – Travel Hydratio... (43); How to Wash and Maintain Your Dog’s Bed (39)",Comparison Usefulness (avg 9.6),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 31.3/100),3.5,P3-Build
Dog Harnesses,37.2,70.0,9,"Dog Harness Types Explained: Finding the Right Fit (41); Best Dog Collars and Harnesses UK (2026) – Complet... (41); Dog Harnesses: The Complete Guide to Types, Fittin... (39)",Source Quality (avg 4.0),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 30.2/100),5.6,P3-Build
Dog Toys,36.8,70.0,34,"Dog Toy Rotation: How to Keep Your Dog Interested ... (48); Best Dog Toys UK (2026) – Complete Guide & Honest ... (48); Mental Stimulation Toys for Dogs: Puzzles, Games, ... (45)",Comparison Usefulness (avg 12.7),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 20.1/100),3.0,P3-Build
Cat Supplies,36.3,70.0,24,Indoor Cat Care: A Complete Guide to Keeping House... (42); Cat Scratching Behaviour Explained: Why Cats Scrat... (42); Cat Care Basics: A Glossary for New Cat Owners (40),Source Quality (avg 4.5),[Comparison Usefulness] Add wp-block-table comparison table (3+ products/options) (cluster avg: 6.2/100),2.1,P3-Build
Dog Care,36.0,70.0,7,Pet Grooming Glossary: Understanding Grooming Term... (44); Best Dog Grooming Supplies UK (2026) – Complete Gu... (39); Best Cat Grooming Supplies UK (2026) – Complete Gu... (36),Comparison Usefulness (avg 12.1),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 24.3/100),8.3,P3-Build
Cat Toys,32.8,70.0,14,Best Cat Toys for Indoor Cats UK (2026) – Enrichme... (38); Best Cat Toys UK (2026) – Complete Guide (38); Cat Toys FAQ: Common Questions Answered (36),Practical Specificity (avg 9.6),[Trust Reinforcement] Add 'Our Methodology' or 'How We Research' section (cluster avg: 21.4/100),4.4,P3-Build
