post_id,title,cluster,detection_type,term,severity,current_state,recommended_action
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,desensitisation,high,Term not found anywhere in post content,Add 'desensitisation' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,resource guarding,high,Term not found anywhere in post content,Add 'resource guarding' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,puzzle feeder,high,Term not found anywhere in post content,Add 'puzzle feeder' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,interactive toy,high,Term not found anywhere in post content,Add 'interactive toy' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,tug toy,high,Term not found anywhere in post content,Add 'tug toy' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,flirt pole,high,Term not found anywhere in post content,Add 'flirt pole' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,weak_semantic_reinforcement,snuffle mat,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'snuffle mat'
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,dental chew,high,Term not found anywhere in post content,Add 'dental chew' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,weak_semantic_reinforcement,lick mat,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'lick mat'
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,denier,high,Term not found anywhere in post content,Add 'denier' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,stuffable toy,high,Term not found anywhere in post content,Add 'stuffable toy' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,nylon chew,high,Term not found anywhere in post content,Add 'nylon chew' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,weak_semantic_reinforcement,RSPCA,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'RSPCA'
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,weak_semantic_reinforcement,BVA,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'BVA'
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,positive reinforcement,medium,Term not found anywhere in post content,Add 'positive reinforcement' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,body condition score,medium,Term not found anywhere in post content,Add 'body condition score' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,missing_terminology,microchip,medium,Term not found anywhere in post content,Add 'microchip' with inline definition to strengthen topical authority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,weak_beginner_support,(post-level),low,"No beginner-friendly framing detected (no 'in simple terms', 'what this means', etc.)",Add an introductory sentence or 'what this means for you' section for new pet owners
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,weak_semantic_reinforcement,enrichment,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'enrichment'
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,desensitisation,high,Term not found anywhere in post content,Add 'desensitisation' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,resource guarding,high,Term not found anywhere in post content,Add 'resource guarding' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,puzzle feeder,high,Term not found anywhere in post content,Add 'puzzle feeder' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,interactive toy,high,Term not found anywhere in post content,Add 'interactive toy' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,tug toy,high,Term not found anywhere in post content,Add 'tug toy' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,flirt pole,high,Term not found anywhere in post content,Add 'flirt pole' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,snuffle mat,high,Term not found anywhere in post content,Add 'snuffle mat' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,dental chew,high,Term not found anywhere in post content,Add 'dental chew' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,weak_semantic_reinforcement,lick mat,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'lick mat'
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,denier,high,Term not found anywhere in post content,Add 'denier' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,stuffable toy,high,Term not found anywhere in post content,Add 'stuffable toy' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,nylon chew,high,Term not found anywhere in post content,Add 'nylon chew' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,weak_semantic_reinforcement,RSPCA,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'RSPCA'
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,weak_semantic_reinforcement,BVA,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'BVA'
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,positive reinforcement,medium,Term not found anywhere in post content,Add 'positive reinforcement' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,body condition score,medium,Term not found anywhere in post content,Add 'body condition score' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,missing_terminology,microchip,medium,Term not found anywhere in post content,Add 'microchip' with inline definition to strengthen topical authority
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,weak_beginner_support,(post-level),low,"No beginner-friendly framing detected (no 'in simple terms', 'what this means', etc.)",Add an introductory sentence or 'what this means for you' section for new pet owners
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,desensitisation,high,Term not found anywhere in post content,Add 'desensitisation' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,resource guarding,high,Term not found anywhere in post content,Add 'resource guarding' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,puzzle feeder,high,Term not found anywhere in post content,Add 'puzzle feeder' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,interactive toy,high,Term not found anywhere in post content,Add 'interactive toy' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,tug toy,high,Term not found anywhere in post content,Add 'tug toy' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,flirt pole,high,Term not found anywhere in post content,Add 'flirt pole' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,weak_semantic_reinforcement,snuffle mat,medium,Term mentioned but not defined or explained in context,Add inline definition after first mention of 'snuffle mat'
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,dental chew,high,Term not found anywhere in post content,Add 'dental chew' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,lick mat,high,Term not found anywhere in post content,Add 'lick mat' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,denier,high,Term not found anywhere in post content,Add 'denier' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,stuffable toy,high,Term not found anywhere in post content,Add 'stuffable toy' with inline definition to strengthen topical authority
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,missing_terminology,nylon chew,high,Term not found anywhere in post content,Add 'nylon chew' with inline definition to strengthen topical authority
