rank,post_id,title,cluster,action,dimension,current_score,estimated_gain,effort,roi_score,priority_tier
1,4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
2,4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Pet Care General,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
3,4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care General,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
4,4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
5,4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
6,4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
7,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
8,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
9,4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
10,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
11,4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
12,4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
13,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
14,4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
15,4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
16,4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
17,4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
18,4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
19,4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
20,4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
21,4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
22,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
23,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
24,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Care,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
25,4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
26,4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
27,4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
28,4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
29,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
30,4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
31,4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
32,4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
33,4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
34,4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
35,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
36,4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
37,4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
38,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
39,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
40,4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
41,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
42,4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
43,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
44,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
45,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
46,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
47,696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,Add external references (UK authorities),References,0,40,1,13.5,P0-Critical
48,4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
49,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
50,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
51,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
52,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
53,4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Care,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
54,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
55,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
56,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
57,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
58,4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
59,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
60,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
61,3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,Add external references (UK authorities),References,20,32,1,13.5,P0-Critical
62,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,Add external references (UK authorities),References,32,27,1,13.5,P0-Critical
63,3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,Add external references (UK authorities),References,32,27,1,13.5,P0-Critical
64,3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,Add external references (UK authorities),References,32,27,1,13.5,P0-Critical
65,4258,Best Cat Collars UK (2026) – Complete Safety Guide,Dog Supplies,Add external references (UK authorities),References,40,24,1,13.5,P0-Critical
66,4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,Add external references (UK authorities),References,40,24,1,13.5,P0-Critical
67,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,Add summary/at-a-glance block,Citations,18,31,1,11.28,P0-Critical
68,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Educational,Add external references (UK authorities),References,44,17,1,10.53,P0-Critical
69,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,Add external references (UK authorities),References,44,17,1,10.53,P0-Critical
70,3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,Add external references (UK authorities),References,44,17,1,10.53,P0-Critical
71,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,Add external references (UK authorities),References,52,15,1,10.53,P0-Critical
72,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Care General,Add external references (UK authorities),References,56,14,1,10.53,P0-Critical
73,4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,Add external references (UK authorities),References,56,14,1,10.53,P0-Critical
74,3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,Add external references (UK authorities),References,56,14,1,10.53,P0-Critical
75,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Supplies,Add external references (UK authorities),References,60,12,1,10.53,P0-Critical
76,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Educational,Add external references (UK authorities),References,60,12,1,10.53,P0-Critical
77,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,Add external references (UK authorities),References,60,12,1,10.53,P0-Critical
78,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Care General,Add external references (UK authorities),References,60,12,1,10.53,P0-Critical
79,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Educational,Add external references (UK authorities),References,60,12,1,10.53,P0-Critical
80,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,Add external references (UK authorities),References,60,12,1,10.53,P0-Critical
81,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,Add summary/at-a-glance block,Citations,23,26,1,9.96,P0-Critical
82,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,Add summary/at-a-glance block,Citations,23,26,1,9.96,P0-Critical
83,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,Add summary/at-a-glance block,Citations,23,26,1,9.96,P0-Critical
84,6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,Add summary/at-a-glance block,Citations,25,25,1,9.96,P0-Critical
85,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,Add summary/at-a-glance block,Citations,29,24,1,9.96,P0-Critical
86,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Educational,Add summary/at-a-glance block,Citations,30,23,1,9.96,P0-Critical
87,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Educational,Add summary/at-a-glance block,Citations,30,23,1,9.96,P0-Critical
88,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Educational,Add summary/at-a-glance block,Citations,30,23,1,9.96,P0-Critical
89,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,Add summary/at-a-glance block,Citations,30,23,1,9.96,P0-Critical
90,6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Care,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
91,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
92,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
93,6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
94,6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,Add summary/at-a-glance block,Citations,33,22,1,9.96,P0-Critical
