source_post_id,source_title,source_cluster,target_post_id,target_title,target_cluster,link_inserted,status,timestamp
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Dog Beds,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED,2026-05-28T22:33:10.748867+00:00
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED,2026-05-28T22:33:15.513495+00:00
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED,2026-05-28T22:33:20.727991+00:00
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Toys,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED,2026-05-28T22:33:25.139481+00:00
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Pet Care,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,https://pethubonline.com/best-puppy-beds-uk/,INSERTED,2026-05-28T22:33:30.063047+00:00
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Dog Toys,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,https://pethubonline.com/best-puppy-beds-uk/,INSERTED,2026-05-28T22:33:34.425479+00:00
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,https://pethubonline.com/best-puppy-beds-uk/,INSERTED,2026-05-28T22:33:39.023219+00:00
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,https://pethubonline.com/best-puppy-beds-uk/,INSERTED,2026-05-28T22:33:43.594271+00:00
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Dog Training/Care,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,INSERTED,2026-05-28T22:33:48.391987+00:00
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training/Care,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,INSERTED,2026-05-28T22:33:54.004968+00:00
