source_cluster,target_cluster,link_count,unique_posts,corridor_strength,is_priority,status
Dog Beds,Dog Care,0,0,Missing,YES,PRIORITY_NEEDS_LINKS
Dog Food,Dog Health,0,0,Missing,YES,PRIORITY_NEEDS_LINKS
Dog Harnesses,Dog Training/Care,1,1,Weak,YES,PRIORITY_NEEDS_REINFORCEMENT
Dog Toys,Puppy Care,1,1,Weak,YES,PRIORITY_NEEDS_REINFORCEMENT
Cat Supplies,Cat Toys,2,2,Moderate,YES,OK
Educational,Pet Care,11,10,Strong,YES,GOOD
Cat Care,Dog Beds,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Dog Care,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Dog Food,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Dog Harnesses,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Dog Health,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Dog Toys,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Dog Training/Care,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Puppy Care,0,0,Missing,NO,NEEDS_LINKS
Cat Care,Uncategorized,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Comparison,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Dog Beds,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Dog Care,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Dog Food,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Dog Harnesses,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Dog Health,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Dog Toys,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Puppy Care,0,0,Missing,NO,NEEDS_LINKS
Cat Supplies,Uncategorized,0,0,Missing,NO,NEEDS_LINKS
Cat Toys,Dog Beds,0,0,Missing,NO,NEEDS_LINKS
Cat Toys,Dog Care,0,0,Missing,NO,NEEDS_LINKS
Cat Toys,Dog Food,0,0,Missing,NO,NEEDS_LINKS
Cat Toys,Dog Harnesses,0,0,Missing,NO,NEEDS_LINKS
Cat Toys,Dog Health,0,0,Missing,NO,NEEDS_LINKS
